paliya_RA,paliya_DEC,paliya_Z
0.4368958,11.16667,0.08759986
1.417268,0.318698,0.08481899
4.24354,7.345316,0.0859798
4.264051,-4.789808,0.098
4.718625,1.132922,0.06387177
5.030144,32.7363,0.08173911
5.687168,-3.058511,0.056
6.079566,-1.638201,0.038
6.190406,8.349175,0.06703187
7.045126,15.93379,0.07935011
8.087626,24.39981,0.066
8.159169,-1.009781,0.09172478
9.155493,26.33139,0.083
9.193546,14.99357,0.08870877
10.1476,18.27801,0.092
11.53859,10.14349,0.08029077
11.83082,14.7035,0.0390731
16.03817,0.1454773,0.07085139
16.80014,14.14583,0.07671486
17.53756,-10.14539,0.05793799
18.37521,4.464441,0.05905792
18.70282,-0.4961343,0.03384342
19.31525,25.44974,0.067
19.50434,-0.496014,0.09114005
19.81382,30.32146,0.05130247
19.87109,-0.1443581,0.09009204
20.00317,-1.364292,0.096
21.98308,-10.64563,0.08240458
23.84033,-0.733942,0.09861597
25.0954,24.04766,0.071
25.70128,-10.14448,0.09021854
26.68677,-0.6786749,0.08236677
27.69454,13.39999,0.09389244
30.3857,0.3981205,0.07816201
46.07408,0.4742684,0.04444674
50.02635,40.36631,0.04717364
57.78166,-5.443628,0.0688624
62.37147,-4.484066,0.03877094
71.1199,12.35326,0.0893
86.48937,1.389278,0.08537331
112.6622,38.81231,0.08772048
112.7786,39.44571,0.04830622
113.7736,42.59601,0.08595588
114.1326,38.51622,0.07347495
114.3095,29.44284,0.07964247
116.102,33.34298,0.06329343
116.7493,44.12468,0.076
117.133,46.74875,0.0883052
117.4465,36.88348,0.07204431
118.19,26.29327,0.08193932
118.8554,39.18609,0.03316471
119.6589,41.75346,0.09352507
119.7935,11.86577,0.05014399
120.0976,30.72115,0.0974853
120.7216,13.09991,0.09489593
121.2996,6.688755,0.09940077
121.4093,24.70413,0.09895169
121.6242,24.33213,0.04134867
122.0073,38.32648,0.04116518
122.0297,56.64234,0.09924941
122.2947,11.10532,0.05273705
122.9939,15.10774,0.08355059
123.2499,6.78641,0.09594466
123.3501,54.37688,0.04264095
123.4412,38.18047,0.07999269
123.7908,3.464906,0.05104269
123.8203,46.07525,0.041
124.3274,52.02993,0.03854058
124.6489,28.83958,0.07704285
124.8891,23.28463,0.09402837
125.1684,15.20247,0.07090219
125.9691,18.24486,0.09764575
126.0926,7.430688,0.08157413
126.8783,12.90635,0.09495958
128.009,46.24048,0.04566712
128.1051,30.769,0.08983556
129.4248,26.56226,0.07583742
129.9569,48.78375,0.03919747
130.558,18.7282,0.09599724
131.1692,29.32227,0.09797979
131.3901,12.36898,0.09564623
131.3979,27.15364,0.09550764
131.4508,29.34866,0.07136694
131.9753,56.34267,0.08671735
132.364,32.81468,0.06401076
132.8198,18.92146,0.07718843
133.6635,17.68955,0.06521195
133.6929,40.42981,0.08755858
133.7674,52.88009,0.08959205
134.0743,-1.635379,0.05956338
134.1379,49.1876,0.07109201
134.2068,35.91654,0.07569718
134.3321,26.31094,0.08124976
134.4004,40.89549,0.09848925
135.1189,6.145144,0.07725906
135.8374,4.96058,0.05674937
136.1301,7.891907,0.08334497
136.7759,19.80911,0.06825622
136.8482,17.27121,0.0983
137.0906,52.35085,0.07608025
137.484,23.49293,0.07397506
138.093,6.974728,0.07853998
139.4746,7.309451,0.09177147
139.5959,35.91075,0.08444937
140.7156,-1.776695,0.08774788
141.162,56.12972,0.02501559
141.3433,13.09408,0.07941209
141.4076,64.15603,0.05233598
141.4761,53.59952,0.0760121
141.5136,12.73437,0.02878478
141.6368,65.6838,0.08683638
142.0644,12.86353,0.09466084
142.6378,3.745448,0.09093904
143.0288,17.45091,0.05141364
143.287,53.79693,0.05695321
143.7784,14.97907,0.08279813
144.1612,13.42491,0.09037857
144.1797,50.88046,0.05547925
144.2544,1.095498,0.05026412
145.2383,3.400338,0.0606815
145.371,49.44565,0.05976498
145.4726,16.60583,0.05125933
145.7922,60.76642,0.07416076
146.3724,9.602897,0.01317231
146.4767,42.64444,0.07453379
146.8589,21.3248,0.09009543
147.1778,50.49208,0.0563294
147.8444,22.12149,0.0787033
148.0399,21.72036,0.07949206
148.0838,32.47412,0.04312633
148.6616,40.53453,0.06729234
149.7028,2.878682,0.07833213
149.9223,49.25821,0.06519432
149.9827,13.04383,0.03524098
151.7409,41.06854,0.08856566
151.7926,22.05036,0.08180236
152.0002,7.504617,0.06838588
152.2289,37.65833,0.05348795
152.4209,31.60954,0.09411449
153.0779,15.50383,0.08077128
153.1605,10.28868,0.0696065
153.21,16.15175,0.07538767
154.1139,-0.1207135,0.09443147
154.188,42.17374,0.05502596
154.3261,29.24282,0.04895768
154.7783,23.31049,0.06456219
154.9562,33.36771,0.02291058
155.4538,3.125617,0.06183925
155.54,48.35383,0.0625544
155.6404,58.45136,0.07710449
156.0108,6.495525,0.04379382
156.1766,37.57104,0.09854905
156.2024,0.5939007,0.09549566
156.3803,51.67635,0.04458556
156.3837,10.4178,0.04606678
156.8571,35.90868,0.05228737
157.3746,27.67316,0.08497884
157.7647,46.43801,0.09311035
157.8929,28.78366,0.06026049
158.1842,39.22299,0.06428257
158.6608,39.64119,0.04307265
159.4659,33.81394,0.05104554
159.5799,35.32064,0.09635255
159.8697,56.34949,0.07480073
159.9457,35.99341,0.08392099
160.183,33.01645,0.08178837
160.245,58.28426,0.07118206
160.3354,31.67754,0.03552026
160.8752,51.35805,0.08156896
160.946,22.49944,0.08030092
161.1632,38.75955,0.0356506
162.3069,23.13943,0.04562128
162.627,23.49207,0.0604007
162.8963,45.40531,0.08469456
162.9627,21.62402,0.07850423
163.6062,20.1968,0.07895705
164.0017,16.9406,0.08480573
164.3303,15.96564,0.06350857
165.0668,46.27089,0.03138351
165.4117,1.413568,0.06498668
165.5678,40.89725,0.08284797
165.6728,42.11444,0.07497827
166.1003,31.79105,0.07895153
166.3704,25.11632,0.09458301
166.4186,3.885858,0.099369
167.3617,17.69061,0.08835486
167.5503,1.224409,0.09533
167.6317,2.345356,0.07944144
167.7701,35.2308,0.06065429
168.2214,31.80205,0.07556929
168.5306,-0.008605178,0.07265639
168.6819,52.97619,0.07908345
168.892,55.62379,0.074
170.5392,1.288751,0.05791176
170.6235,21.80433,0.06023635
170.6781,41.73208,0.04451048
170.7882,43.52634,0.07909819
171.2851,-3.573729,0.09665092
171.3605,2.344183,0.0486976
171.439,24.13999,0.02373581
171.5151,24.55393,0.06940463
171.9038,24.82319,0.05893762
172.0543,10.38565,0.05014781
172.4281,55.98685,0.04882211
172.6229,63.77236,0.073
172.7546,13.76101,0.09136485
172.7681,30.46162,0.08295851
172.7998,10.04204,0.07424369
173.1944,6.44012,0.08375548
173.8941,47.85079,0.09245526
174.1599,42.76472,0.07102937
174.1628,14.80349,0.07329109
174.2403,41.22181,0.07152948
174.808,33.93088,0.03226568
175.0363,3.119836,0.08102276
175.4686,19.25447,0.09563332
175.9145,-2.721203,0.09374522
177.2151,51.75798,0.0674153
177.6827,34.18817,0.07139465
177.7382,25.53028,0.08592113
177.9088,56.22553,0.0508137
178.0316,14.81515,0.06770358
178.3884,9.902325,0.06897577
178.4241,46.21174,0.02425128
179.424,4.214049,0.09466131
179.9797,12.64672,0.0817527
180.0455,-2.081059,0.09096786
180.052,18.59528,0.06642266
181.8326,24.19886,0.05026987
182.3716,33.0917,0.03037385
182.4776,6.470279,0.07985434
182.9895,5.966976,0.06779005
183.4284,42.46196,0.07308676
183.826,1.797551,0.07095715
183.9364,59.44418,0.09590749
184.2157,37.91058,0.06302489
184.4791,58.65991,0.02310827
184.5567,26.40504,0.06334908
184.6541,9.223209,0.07765754
184.8786,6.726232,0.08044197
185.7825,19.39365,0.07561888
185.9568,7.44941,0.07442579
185.9824,28.45053,0.06731834
187.001,26.87141,0.06240923
187.0565,61.75018,0.09848351
187.2646,29.77946,0.08142967
188.6521,16.53123,0.0733107
188.7329,15.56561,0.04582256
188.9344,16.09342,0.07113771
189.2132,45.65116,0.03034499
189.8858,34.37259,0.0840342
190.1492,-0.4887433,0.08082828
190.4405,32.04895,0.05044332
190.5442,33.28406,0.0435284
190.8061,4.887394,0.09178376
190.8333,2.882273,0.08670225
191.0311,1.109309,0.08999462
191.5505,41.13665,0.06673225
191.5958,0.4777508,0.08851205
191.6469,2.369098,0.0481308
192.0172,18.00244,0.07528418
192.3203,-1.547831,0.08692751
194.1143,21.52149,0.07574429
194.8604,20.49087,0.07560846
195.0171,29.77346,0.08533613
195.2171,56.68497,0.07183636
195.4784,32.09691,0.09530301
195.7544,40.6446,0.06692081
196.2373,39.92493,0.02744432
196.4458,50.67612,0.05513978
196.4872,8.292023,0.08891357
196.762,56.53289,0.08052007
196.798,39.75929,0.07318658
196.8208,45.11258,0.08427652
197.0127,3.854051,0.07045136
197.815,18.63088,0.09425858
197.9015,58.13377,0.07112775
197.9059,-0.9595161,0.0867744
197.9273,33.27022,0.0784817
198.2742,1.465541,0.02935044
198.5946,34.49403,0.07446658
198.7147,42.30537,0.07328262
198.7771,46.23616,0.09827451
198.792,43.42974,0.08570179
199.3274,32.67657,0.0614082
199.518,41.29296,0.0672392
199.7748,31.14801,0.03201681
199.7783,25.56642,0.09574951
200.1104,5.187108,0.09823072
