,objID,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
137,121410004599422945,0.11304249,0.8745341551633472,471.55682652880506,-21.391152429850578,0.0005880210852437487
282,121370004243704197,0.055674884,0.9131810528720214,235.42164404703425,-22.024210728482345,0.004226603564091984
314,121420004271326878,0.7152154,0.9778888794907281,2549.7024857093766,-21.035562430804532,1.4495925809642233e-05
794,121390004129466161,0.62669027,0.9936564286688985,2288.0238556933054,-21.124538857144813,1.9538645186995465e-05
1778,108370014256464652,0.044908702,0.908081924021459,190.37240161819355,-21.481795836476223,0.003922024995446184
1947,108350014165583167,0.6113181,0.9129267588037655,2241.155230148067,-20.9302191469067,1.7027221363449592e-05
2066,108370014548255114,0.08924122,0.837246811674722,374.3909862648326,-18.46578420985334,6.304678069625346e-05
2728,108400013869929884,0.976275,0.9975164717866337,3245.7196773769074,-20.853830630208048,7.566764805116965e-06
3051,108360014327639563,0.06999621,0.9327277467978579,294.989622675893,-20.75100510654441,0.0008332754098306538
3444,116780042195013072,0.61773735,0.8319032817127825,2260.778921828523,-20.98446668284093,1.7590188047673437e-05
3639,116820042123262399,0.056046557,0.8929345402318004,236.97169278263868,-20.574868031330467,0.001097878475897493
4389,116840042569505234,0.51156616,0.9344614939785132,1926.348974224415,-21.30896467781415,3.266750296124431e-05
5286,102270042606146597,0.5155529,0.973753207718417,1939.292036994121,-20.842890526458383,2.0983106369854896e-05
6554,109370046795189050,0.1745847,0.8731496375411889,717.4462737145197,-21.503013931420142,0.0002815962091239951
7265,109400046980350124,0.49003333,0.8632178792703114,1855.911880499103,-21.111963674698128,2.9354234958897764e-05
7580,109370047497878747,0.19819346,0.8920615843621458,809.7103069971957,-21.631685750692718,0.0002488943082280188
7764,109350047061922499,0.6978419,0.9109680817250627,2499.433997231224,-20.698752456358026,1.1061592031132561e-05
8483,109420047185621622,0.042277217,0.8825444815603003,179.3254453708428,-20.575968622244154,0.0019191265454525745
9334,147290050731417743,0.22114404,0.8582638420451011,898.3006867847133,-21.486026788380016,0.00017683460306988424
9887,147250049935656277,0.67066425,0.9675553275775508,2419.7428008797256,-21.269492915434725,1.9964514494393114e-05
9925,147260050688281208,0.06788656,0.8973252410560402,286.2400387448003,-20.93923034450939,0.001052522464067352
10168,147270050629150689,0.10967701,0.8400412348830426,457.88699638211693,-21.12548194594016,0.0004882881201320215
10242,147280050301344161,0.062480293,0.923093381530919,263.77837767255465,-20.20579593671394,0.0006307249179659255
10599,104370056871786349,0.13207047,0.8298495521933811,548.4097622874228,-21.4327155434771,0.00045172680633596567
10768,104310057139848582,0.6506175,0.828353950679384,2360.1242875482912,-21.176645908498827,1.926586953994524e-05
11736,104310056957684359,0.5464942,0.8660255394749252,2038.711165986876,-20.408728823279514,1.2728584974770434e-05
12224,104340057374155545,0.044848364,0.9134718409109799,190.11791272854745,-20.24514384445017,0.001258958639732205
12661,104350056402077902,0.043754444,0.8606512374253774,185.52822849939452,-20.45049535756815,0.0015972693110840506
12941,104320057309979799,0.62029517,0.8785078608451482,2268.5779318543946,-20.5760061574151,1.1992094904980826e-05
13236,104300056529773589,0.3145102,0.8242255021827012,1247.4859320927228,-21.445056798315257,8.829810960484874e-05
13549,104270056848415927,0.025894467,0.9902980370619494,110.24963341698161,-22.062113290376587,0.019956804730703742
13708,104300057004789999,0.042327948,0.8563059588281257,179.53937315904705,-22.055787537073556,0.00748161930395996
13815,104330056871360216,0.070177235,0.9114439682734513,295.7402333536156,-20.445636111693787,0.0006257972094918883
14177,105940060753390933,0.5109524,0.8634020583703754,1924.3540392578932,-21.279650567261008,3.18632649872717e-05
15757,106000060817820603,0.07729327,0.8516494668636074,325.1826330306336,-20.789911071152417,0.0007107383372773563
17289,106030060795264578,0.04773228,0.9687260485600822,202.20883401676625,-20.157172426312023,0.001026286746922472
17340,106090060502632098,0.05762543,0.831031000208359,243.5580880227006,-21.259338495096216,0.0019522268692288094
18128,106080060627932850,0.035724435,0.9954555244925296,151.7596111089025,-19.55591248146454,0.0010472553378211562
18141,106080060663001665,0.3875076,0.9010109931676027,1508.0389815978183,-21.98770281309279,9.959923198107621e-05
19012,106110060583006976,0.06526641,0.9348161101342316,275.3619278781153,-20.812165004656293,0.001011715059725736
19049,106030060811838995,0.06193614,0.9221371126409134,261.5143762795443,-20.76832075575072,0.001077301254251734
19401,106080060874936163,0.20487003,0.8639446639696213,835.593496688906,-21.49687093526868,0.00020642308845342694
19929,106090060927638034,0.059716746,0.8584368654543217,252.27407472655494,-20.659466783205545,0.0010472285396469216
20520,105980060663383132,0.13237281,0.8253459464271868,549.6258747868583,-21.290564391951712,0.0003945403423382163
20805,105950060951894456,0.09481734,0.8341984452570336,397.2575303021537,-21.275715966285517,0.0007449757050295479
22528,106010060693003136,0.5710536,0.986486723631407,2116.331939675768,-21.363735641502213,2.8466015656150013e-05
23185,105940061218228071,0.044090662,0.8544276039258212,186.9384277122637,-20.691676604192104,0.0019645969722769246
24719,118060062166261130,0.042264663,0.9084501199002166,179.27246638322814,-20.835805607126268,0.002439467609091804
24824,117980061619123284,0.042355247,0.886506746890028,179.65405689317643,-21.730647158579707,0.0055384062145467615
25246,118010061903979507,0.083166346,0.8840635954572128,349.4070954385844,-20.541963584997255,0.000489916418351628
25517,118050061858881060,0.045306534,0.8591512981739955,192.04036597894597,-20.65433468040048,0.0017986589466883424
25606,117960061864339429,0.07928732,0.8516061740134975,333.41576930800613,-20.64349073217322,0.0005907775996551484
25648,117980062091703616,-0.0062907347,0.8304043317061778,0.4288678459341637,-8.436961722517108,0.004678834848637975
26407,118030061972005035,0.66314936,0.9263953645696912,2397.4781434168244,-21.368321009313295,2.2275070666391348e-05
27064,127090070274544754,0.043754444,0.8606512374253774,185.52822849939452,-22.020508351678735,0.006782399155163697
27095,127130070163458529,0.06799517,0.9248906677279017,286.6902347158375,-20.794218250451344,0.0009180397790811618
27379,127160070579863717,0.0445555,0.8696073293890207,188.89031330246155,-20.495094427228366,0.001605529896653862
27617,127150070524154922,0.59275883,0.9315365527991941,2183.9924427005126,-21.44814236672481,2.8890475126091417e-05
28761,137280080876430376,0.06365454,0.8632868058242653,268.66201303258623,-20.169982890262418,0.0005882753177428647
29084,137280081236191054,0.07011968,0.9045081583707594,295.50034818370193,-20.74178132569663,0.0008233728385891992
30411,137330080867132462,0.046511933,0.8838834553290423,197.0939231348622,-21.53979916845691,0.0038598746314291122
31865,106810081381480643,0.5637857,0.9224096217887536,2093.4796361436834,-20.82179301489235,1.7659553731209392e-05
32121,106800081402271459,0.2863416,0.870175175981033,1144.0287982807085,-21.633892290057577,0.00012493467808626863
32365,139570091865294691,0.04047968,0.8563138621012143,171.77301599641277,-21.96750491759562,0.007535153171228329
32483,139570091187798213,0.52190113,0.9455993958125988,1959.8386183411617,-20.9157323552273,2.197112626069191e-05
34580,125990091995264909,0.22557761,0.825851247831886,915.2882805229083,-21.67109014456753,0.00020198552829623929
34878,126010091651168518,0.051468726,0.8449979523799156,217.84899023965488,-20.291299201580145,0.0010004803841937625
34935,126010091867974557,0.593565,0.8396736022507747,2186.4886602463075,-20.982138097752255,1.8765527651893252e-05
35237,129940101314833762,0.6405678,0.9848893763821027,2329.9668038565464,-21.233284883491724,2.0826413479586907e-05
36059,129910101197458733,0.64828634,0.825964282196864,2353.1451398381932,-21.27525829249697,2.1222956661856515e-05
36845,120130115203809184,0.5770287,0.8607025050736077,2135.045451889429,-21.292345907368766,2.6189313419304124e-05
37154,120190115596166400,0.044927657,0.8755136566348463,190.45113704099379,-21.74143087406471,0.004977430560134426
37463,120120115378125418,0.04322124,0.907749912889098,183.29028691464316,-22.343906613675586,0.009360170148452
37546,120180115464206501,0.44245574,0.8573975534033473,1697.0705368416302,-20.71087537141935,2.426332755606761e-05
37835,120170115385842659,0.06711578,0.8612492781105409,283.04089772803286,-20.45925462570846,0.0006918364894454129
38272,125690118972227871,0.046949647,0.8707496781353967,198.92945906593908,-22.426659747372952,0.008575623299739064
38474,125640118307304682,0.041451328,0.9424153161270714,175.85630201590573,-20.64064645850342,0.00211808171296997
