,objID,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
35,121360004258436294,0.30093446,0.41959216139006705,1197.828436987437,-20.558101314261428,4.2310804905309586e-05
49,121360004384806674,0.038917392,0.7831574777175601,165.20233201351562,-22.113904874190418,0.009322440121082121
114,121410004526553929,0.30628416,0.5258064741432729,1217.443181536773,-20.90060641625257,5.614940559288865e-05
115,121410004532792954,0.4648781,0.7301853590173,1772.4825814450683,-21.12972250718495,3.271335231537111e-05
137,121410004599422945,0.11304249,0.8745341551633472,471.55682652880506,-21.391152429850578,0.0005880210852437487
157,121410004680509961,0.113560796,0.5611422322846324,473.6608853910224,-18.737040497409865,5.056862605608857e-05
161,121410004694836887,0.20044242,0.3742095579561233,818.4404270757581,-20.147965098716924,6.211720309505793e-05
282,121370004243704197,0.055674884,0.9131810528720214,235.42164404703425,-22.024210728482345,0.004226603564091984
310,121370004325830800,0.12039286,0.47806017728744654,501.33276462640674,-19.53773466358262,9.437168027661143e-05
314,121420004271326878,0.7152154,0.9778888794907281,2549.7024857093766,-21.035562430804532,1.4495925809642233e-05
373,121420004625663731,0.38493544,0.6780231680799078,1499.0415493284167,-21.504255957966166,6.457658020176727e-05
427,121370004417456883,0.53553367,0.3852449444418813,2003.7018256410058,-20.817091647403906,1.9194220128419822e-05
428,121370004418434516,0.047500804,0.739902537588605,201.23856878190324,-20.85301650720581,0.0019669085265372134
567,121430004422393306,0.24570425,0.6730869358420124,991.8975528018427,-21.213038520649047,0.00011279290203376058
573,121430004458668378,0.39384982,0.36595919724152215,1530.1667570510951,-20.265247575861167,1.97980084383382e-05
623,121440004336860953,0.23351465,0.45209558664649063,945.5991482805701,-20.580696539792434,6.932094447434457e-05
633,121380004270398887,0.29713508,0.4661792178686692,1183.8645054656977,-20.129308412495085,2.9182289764364436e-05
791,121390004100248038,0.11674744,0.4137782537374277,486.5792732988432,-18.988897193616772,6.042987091475979e-05
794,121390004129466161,0.62669027,0.9936564286688985,2288.0238556933054,-21.124538857144813,1.9538645186995465e-05
803,121390004192680013,0.594484,0.5051617026562885,2189.3323102256954,-20.63747089228613,1.3625893307517018e-05
861,121390004494417704,0.4900493,0.38287083337103367,1855.9638293571504,-20.684740825790097,1.9804200485237135e-05
991,121400004368570507,0.09219555,0.6887375489176648,386.5129163319288,-19.88793504226192,0.0002192027477213158
1012,121400004474287812,0.44712767,0.6451296462452776,1712.8652153813719,-21.02118257897912,3.169761979579203e-05
1055,121400004677609457,0.6601685,0.5511563506410964,2388.6183982385987,-20.838422311032218,1.3774485245496818e-05
1102,121410004142333506,0.3830996,0.22682968039082851,1492.6125088608621,-20.44044938144149,2.4450379187976223e-05
1111,121410004211295304,0.6471766,0.5639625508779365,2349.8198849270434,-20.881979093515334,1.4815710666755339e-05
1113,121410004217311383,0.5118884,0.5857991900522705,1927.3963250806164,-20.995166262043185,2.4441308436707295e-05
1146,121410004395765562,0.39358303,0.4373023907210172,1529.2371630920743,-20.343253626605993,2.1298634631583987e-05
1165,121410004495586704,0.46004602,0.5409138018212358,1756.3142858670712,-20.97007058923216,2.8762310338155808e-05
