objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
PSO J131.9477+56.3317,-999,-999,-999,175591319476528744,3563697000077390,303924770844239,0,15754442465991,17559,1,2422,1,0.190106773926045,3563697,70763,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,131.94773956,56.33166249,0.20262999832630157,0.20262999832630157,,,,,56013.0747338,-999.0,-0.37057976320248714,0.41232622484987147,0.8322606102693085,117.58333434362403,36.83912367990993,161.03415914243257,38.26976178421917,-999,0,2,2,0,0,0,0,0.6729859709739685,22.466899871826172,0.35918301343917847,0.7114440202713013,2,21.75550079345703,22.473800659179688,-999.0,-999.0,-999.0,0,22.79450035095215,0.5581439733505249,1.110509991645813,2,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.01882945370696041
PSO J131.9472+56.3312,-999,-999,-999,175591319471508116,3563697000077344,303924770844193,0,15754442465867,17559,1,2422,1,0.91781104348396,3563697,70763,3,444674048,0,53,131.94713679,56.33124395,0.0010000000474974513,0.0010000000474974513,131.94716029,56.33115708,0.15832999348640442,0.15832999348640442,,,,,55651.2372338,-999.0,-0.3705805018220023,0.41233543170886905,0.8322557199724214,117.58316568018596,36.83854028521526,161.03485275427997,38.26951273170966,-999,1,1,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.06590999662876129,20.76930046081543,0.15761299431324005,-999.0,1,20.76930046081543,20.76930046081543,19.87649917602539,0.17763100564479828,-999.0,1,20.13249969482422,0.15761299431324005,-999.0,1,16892472,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.019386780764581946
PSO J131.9450+56.3318,-999,-999,-999,175591319449648846,3563697000077139,303924770843988,0,15754442501687,17559,1,2422,1,0.840885033682813,3563697,70763,3,1384198144,0,165,131.94526553,56.33174534,0.0010000000474974513,0.0010000000474974513,131.94496269,56.33176379,0.1713400036096573,0.1713400036096573,,,,,55889.60371528,-999.0,-0.3705587956171375,0.4123430902601635,0.8322615904302415,117.5814780142411,36.83870778125863,161.034299285653,38.268222931507985,-999,1,1,1,0,0,0,0,0.13448399305343628,21.797300338745117,0.17068499326705933,-999.0,1,21.797300338745117,21.797300338745117,20.566299438476562,0.13078700006008148,-999.0,1,20.865699768066406,0.17068499326705933,-999.0,1,16892472,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.020043110329003713
PSO J131.9440+56.3312,-999,-999,-999,175591319440478127,3563697000077049,303924770843898,0,15754442501823,17559,1,2422,1,0.825737895281741,3563697,70763,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,131.94404272,56.33120042,0.3438200056552887,0.3438200056552887,,,,,56978.62,-999.0,-0.37055764454795265,0.41235512682287817,0.832256139328489,117.58111079649397,36.83800697370782,161.0350988668275,38.26779466544603,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.8264120221138,22.340599060058594,0.3434950113296509,-999.0,1,22.340599060058594,22.340599060058594,-999.0,-999.0,-999.0,0,23.491100311279297,0.3434950113296509,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.020778524630303264
PSO J131.9440+56.3324,-999,-999,-999,175591319438669712,3563697000077027,303924770843876,0,15754442499830,17559,1,2422,1,0.0792758232720902,3563697,70763,3,436285440,0,52,131.94392446,56.33234672,0.0010000000474974513,0.0010000000474974513,131.94397088,56.33243555,0.12518000602722168,0.12518000602722168,,,,,56319.34275463,1.7753000259399414,-0.3705451355928524,0.4123422468417375,0.8322680901956907,117.58055116852734,36.83915872480148,161.03354738654622,38.267586465144035,-999,3,2,0,2,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.9994059801101685,21.895099639892578,0.034345000982284546,0.04860600084066391,2,21.86199951171875,21.930700302124023,21.739999771118164,0.04510600119829178,0.06400299817323685,2,21.63990020751953,0.07359900325536728,0.10416600108146667,2,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.02015717043182206
PSO J131.9427+56.3325,-999,-999,-999,175591319427259671,3563697000076925,303924770843774,0,15754442499857,17559,1,2422,1,0.261056127269805,3563697,70763,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,131.94273412,56.33246714,0.28536999225616455,0.28536999225616455,,,,,56758.29471065,-999.0,-0.3705359281754765,0.41234990384622666,0.8322683958490468,117.57973002249702,36.838960751083654,161.0336268349563,38.26690295163853,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.876787006855011,21.653200149536133,0.28497999906539917,-999.0,1,21.653200149536133,21.653200149536133,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,280,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.020735119458351242
PSO J131.9423+56.3301,-999,-999,-999,175591319423706733,3563697000076892,303924770843741,0,15754442501413,17559,1,2422,1,0.279754095040033,3563697,70763,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,131.94230772,56.33008882,0.13612000644207,0.13612000644207,,,,,56658.49554398,-999.0,-0.3705559497338675,0.4123783577692547,0.8322453833818269,117.58043860027864,36.836638966333346,161.03666876008333,38.26699363619338,-999,0,2,2,0,0,0,0,0.4896340072154999,20.999099731445312,0.05936799943447113,0.0840499997138977,2,20.9424991607666,21.061199188232422,-999.0,-999.0,-999.0,0,21.167999267578125,0.18046900629997253,0.2555429935455322,2,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.022197804962701274
PSO J131.9423+56.3285,-999,-999,-999,175591319422734880,3563697000112214,303924770881068,0,15754442448743,17559,1,2422,1,0.553296055228725,3563697,70763,3,1343750144,0,160,131.94227516,56.32848204,0.0010000000474974513,0.0010000000474974513,131.94227516,56.32848204,0.0010000000474974513,0.0010000000474974513,,,,,56119.69311343,-999.0,-0.3705713147046541,0.41239592828567856,0.8322298354730246,117.58108421643811,36.835117432453345,161.03869923612834,38.267195178731484,-999,1,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.023160942259612374
PSO J131.9394+56.3252,-999,-999,-999,175591319394140934,3563697000112187,303924770881041,0,15754442455669,17559,1,2422,1,0.357965411951733,3563697,70763,3,404226048,0,48,131.93941652,56.32519181,0.0010000000474974513,0.0010000000474974513,131.93941652,56.32519181,0.0010000000474974513,0.0010000000474974513,,,,,56119.69311343,-999.0,-0.3705826790016857,0.4124499653808688,0.8321979957205219,117.58058184173125,36.83148754030493,161.04312622310417,38.26607416786259,-999,2,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.02647982977495797
PSO J131.9609+56.3179,-999,-999,-999,175581319611392271,3563697000112355,303924770881209,0,15754441053780,17558,1,2422,1,0.817106228151458,3563697,70763,3,404226048,0,48,131.96092886,56.3179444,0.0010000000474974513,0.0010000000474974513,131.96092886,56.3179444,0.0010000000474974513,0.0010000000474974513,,,,,56119.69311343,-999.0,-0.3708078919920762,0.4123890692808391,0.8321278524205736,117.59764721110498,36.82861478505878,161.05019587987724,38.27888149106582,-999,2,0,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.025977588283216384
