objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance
PSO J154.1313-00.1511,-999,-999,-999,107811541314549122,3564338000051936,378571302423263,0,10550068239466,10781,1,1271,99,0.00507385004784339,3564338,88143,3,436527104,7,52,154.1313643,-0.15104405,0.0010000000474974513,0.0010000000474974513,154.13129588380028,-0.1510904209701697,0.042776309998647656,0.042776309998647656,157.3689393662041,75.35039926534772,51.22605782522933,51.22605782522933,56356.931296856375,1.5160601139068604,-0.8997931044243809,0.43630885315788237,-0.0026370222578853183,156.07218193581286,-10.135290734801183,242.71611977317454,43.87562588950323,-999,4,7,0,0,4,3,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.999347984790802,21.728700637817383,0.038270000368356705,0.08377499878406525,4,21.629199981689453,21.807199478149414,21.834199905395508,0.0739699974656105,0.4069820046424866,4,21.953500747680664,0.11524800211191177,0.18280400335788727,4,115000,0.9987850189208984,21.097900390625,0.01171599980443716,0.018749000504612923,3,21.082300186157227,21.11750030517578,21.131399154663086,0.11810100078582764,0.1988220065832138,3,21.54210090637207,0.09979800134897232,0.14325599372386932,2,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.03500531946987436
PSO J154.1291-00.1515,-999,-999,-999,107811541291118718,3564338000051590,378571302422917,0,10550068247413,10781,1,1271,99,0.0298703778813317,3564338,88143,3,310456320,0,37,-999.0,-999.0,-999.0,-999.0,154.12905266,-0.15146411,0.18199999630451202,0.18199999630451202,,,,,56029.27590278,-999.0,-0.8997760060327222,0.436344073686271,-0.0026435443391012834,156.07017511153745,-10.136456095484185,242.71451872021862,43.873643804283006,-999,0,1,1,0,0,0,0,0.9944159984588623,21.968399047851562,0.18137800693511963,-999.0,1,21.968399047851562,21.968399047851562,21.457199096679688,0.26570600271224976,-999.0,1,21.426000595092773,0.18137800693511963,-999.0,1,16777496,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.03428121671729238
PSO J154.1285-00.1505,-999,-999,-999,107811541285009816,3564338000051488,378571302422815,0,10550068247263,10781,1,1271,99,0.469926723716712,3564338,88143,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,154.12849537,-0.15051533,0.22247999906539917,0.22247999906539917,,,,,56722.34311343,-999.0,-0.8997718011343074,0.43635284441952465,-0.002626985061723645,156.06929730072602,-10.135774870989565,242.71301109053513,43.87381588493367,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.6207259893417358,21.396499633789062,0.22197100520133972,-999.0,1,21.396499633789062,21.396499633789062,-999.0,-999.0,-999.0,0,21.584699630737305,0.22197100520133972,-999.0,1,4112,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.033183922290101676
PSO J154.1245-00.1526,-999,-999,-999,107811541245427355,3564338000050879,378571302422206,0,10550068203548,10781,1,1271,99,0.0496871658132292,3564338,88143,3,268513280,0,32,-999.0,-999.0,-999.0,-999.0,154.1244831,-0.15260971,0.01892000064253807,0.01892000064253807,,,,,55671.27697917,-999.0,-0.8997411553067567,0.436415809760065,-0.0026635387606182377,156.06627390560504,-10.139184693702203,242.71172067937835,43.869386521620854,-999,0,2,0,0,0,1,1,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.9991469979286194,17.214500427246094,0.011536000296473503,-999.0,1,17.214500427246094,17.214500427246094,17.77280044555664,0.026562999933958054,-999.0,1,17.67930030822754,0.011536000296473503,-999.0,1,16,0.4540959894657135,19.789400100708008,0.4235430061817169,-999.0,1,19.789400100708008,19.789400100708008,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,4112,0.03360609435631704
PSO J154.1239-00.1518,-999,-999,-999,107811541239418277,3564338000050769,378571302422096,0,10550068203694,10781,1,1271,99,0.276229230012958,3564338,88143,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,154.12393439,-0.15180737,0.36855998635292053,0.36855998635292053,,,,,55235.43912037,-999.0,-0.8997370092712637,0.4364244426130473,-0.0026495353353105724,156.06545830132382,-10.138636758040725,242.710377618716,43.86947219623584,-999,0,1,1,0,0,0,0,0.39210399985313416,22.506999969482422,0.36825498938560486,-999.0,1,22.506999969482422,22.506999969482422,-999.0,-999.0,-999.0,1,23.450000762939453,0.36825498938560486,-999.0,1,4120,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.03267288114478693
PSO J154.1238-00.1536,-999,-999,-999,107811541237676148,3564338000050746,378571302422073,0,10550068367560,10781,1,1271,99,0.0481268167943943,3564338,88143,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,154.12375822,-0.15358036,0.16865000128746033,0.16865000128746033,,,,,55615.43909722,-999.0,-0.8997355931733783,0.4364271730831165,-0.002680479738526008,156.06594642476603,-10.140352464593601,242.71212216356463,43.86821015758716,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.8341439962387085,20.2731990814209,0.1679850071668625,-999.0,1,20.2731990814209,20.2731990814209,-999.0,-999.0,-999.0,0,20.69770050048828,0.1679850071668625,-999.0,1,4112,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.03431347298558692
PSO J154.1235-00.1542,-999,-999,-999,107811541235285467,3564338000050707,378571302422034,0,10550068368380,10781,1,1271,99,0.422372984161948,3564338,88143,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,154.12346495,-0.15417881,0.18216000497341156,0.18216000497341156,,,,,56661.58965278,-999.0,-0.8997333340579124,0.4364317661556065,-0.0026909246237648583,156.06588992433876,-10.14101658486531,242.71250503835773,43.86760356317711,-999,0,1,1,0,0,0,0,0.998678982257843,21.77560043334961,0.18154600262641907,-999.0,1,21.77560043334961,21.77560043334961,-999.0,-999.0,-999.0,1,21.715299606323242,0.18154600262641907,-999.0,1,280,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.03480538338840899
PSO J154.1230-00.1544,-999,-999,-999,107811541231045163,3564338000050648,378571302421975,0,10550068368138,10781,1,1271,99,0.0157127399143882,3564338,88143,3,302067712,0,36,-999.0,-999.0,-999.0,-999.0,154.12304956,-0.15443785,0.2510699927806854,0.2510699927806854,,,,,55615.45142361,-999.0,-0.8997301589821893,0.43643828382752825,-0.002695445708262861,156.0655924963486,-10.141408922074959,242.71241667572468,43.86711818596808,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.8840789794921875,21.58530044555664,0.25061899423599243,-999.0,1,21.58530044555664,21.58530044555664,-999.0,-999.0,-999.0,0,22.7460994720459,0.25061899423599243,-999.0,1,272,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.03494346499766861
PSO J154.1228-00.1526,-999,-999,-999,107811541227997351,3564338000050606,378571302421933,0,10550068323183,10781,1,1271,99,0.916393800560752,3564338,88143,3,268959744,0,32,-999.0,-999.0,-999.0,-999.0,154.12278998,-0.15257782,0.15000000596046448,0.15000000596046448,,,,,55615.43909722,-999.0,-0.8997282599341003,0.43644239803424273,-0.0026629821770936986,156.06465985655916,-10.139770557339743,242.71019506849115,43.86809890160344,-999,0,1,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.7620530128479004,19.99920082092285,0.14925000071525574,-999.0,1,19.99920082092285,19.99920082092285,-999.0,-999.0,-999.0,0,20.70050048828125,0.14925000071525574,-999.0,1,4112,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,0,0.033081205871427155
PSO J154.1222-00.1531,-999,-999,-999,107811541223576846,3564338000050546,378571302421873,0,10550068322847,10781,1,1271,99,0.398275348728779,3564338,88143,3,436527104,7,52,154.12230241,-0.15304952,0.0010000000474974513,0.0010000000474974513,154.12223869145922,-0.15308126226177496,0.01952289364641945,0.01952289364641945,-26.709471027868517,96.09786404790314,21.599576977547542,21.599576977547542,56523.74443580045,2.8031890392303467,-0.8997240394435617,0.436451044790204,-0.002671768870896974,156.06431539329986,-10.14044044025898,242.71023884172394,43.86734875203704,-999,4,21,0,5,14,2,0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,16416,0.9987540245056152,21.832700729370117,0.05783199891448021,0.2926799952983856,5,21.33209991455078,21.954999923706055,22.15690040588379,0.0690469965338707,0.4517489969730377,5,22.35580062866211,0.13817700743675232,0.3170199990272522,5,115000,0.999347984790802,21.52750015258789,0.049254998564720154,0.17858800292015076,14,21.230499267578125,21.812299728393555,21.617000579833984,0.076494000852108,0.34623900055885315,14,21.619600296020508,0.07083100080490112,0.42427998781204224,14,115000,0.999442994594574,21.272499084472656,0.1462700068950653,0.20698900520801544,2,21.131500244140625,21.423999786376953,21.3125,0.2291480004787445,0.32623299956321716,2,21.412900924682617,0.22637000679969788,0.3204230070114136,2,115000,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,-999.0,-999.0,0,-999.0,-999.0,-999.0,0,114720,0.033424622814383534
