,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,Unnamed: 0,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
52,PSO J020.0183-01.3916,-999,-999,-999,106330200182090574,3495829000144186,363156664890171,0,8831265029452,10633,1,1237,64,0.777227752634536,3495829,84554,3,444915712,7,53,20.018287,-1.39159759,0.0010000000474974,0.0010000000474974,20.018330608723684,-1.3916463346992227,0.010607465213874,0.010607465213874,-14.432458532272754,-13.8577879069468,5.428980403008508,5.428980403008508,55863.75933297763,6.692741870880127,0.9393060121862704,0.3422197907123663,-0.0242864224518605,17.951482561968803,-9.11459561391774,139.06558271038574,-63.36287354917583,-999,5,46,2,20,12,10,2,0.999222993850708,22.00950050354004,0.2025550007820129,0.3007380068302154,2,21.871700286865234,22.27680015563965,21.421600341796875,0.1834190040826797,-999.0,1,21.44499969482422,0.0001820000034058,-999.0,2,115000,0.9997379779815674,21.566499710083008,0.0622740015387535,0.1349209994077682,19,21.2189998626709,21.77630043029785,21.330299377441406,0.0941390022635459,0.2730869948863983,19,21.18980026245117,0.0757320001721382,0.2373159974813461,19,16892216,0.9987090229988098,21.174299240112305,0.0405130013823509,0.1340219974517822,12,21.02639961242676,21.407400131225582,20.80010032653809,0.044718999415636,0.2809810042381286,12,20.78580093383789,0.0362769998610019,0.2174350023269653,12,16892216,0.9990360140800476,20.75169944763184,0.0849179998040199,0.2101459950208664,10,20.424999237060547,21.15850067138672,20.35700035095215,0.0740500018000602,0.3058739900588989,10,20.287900924682617,0.0803330019116401,0.19964300096035,10,16892216,0.9991000294685364,20.13789939880371,0.0057560000568628,0.0081460000947117,2,20.13190078735352,20.143400192260746,19.88349914550781,0.1312959939241409,0.185817003250122,2,19.71769905090332,0.1195690035820007,0.1692160069942474,2,115000,0.031272524066611,78026.0,0.7119365,0.2706938714449698,2540.2552011816388,-20.7916194921696,1.1665224420609044e-05
55,PSO J020.0200-01.3792,-999,-999,-999,106340200200555515,3495829000145161,363156664891146,0,8831265043841,10634,1,1237,64,0.767409655048893,3495829,84554,3,436527104,7,52,20.01995836,-1.37912147,0.0010000000474974,0.0010000000474974,20.02001126532261,-1.3791705828701897,0.0026382782445619,0.002566076603942,5.804395659331993,-36.055481437810336,1.63944204783877,1.5995965069110187,56231.56669098731,16.76582145690918,0.9393009198329187,0.3422491455122685,-0.0240687431569356,17.957840329111082,-9.103697926280311,139.0623500320683,-63.35038090310441,-999,5,64,3,24,13,13,11,0.9986670017242432,21.879499435424805,0.1682559996843338,0.2813900113105774,3,21.62240028381348,22.15449905395508,21.53529930114746,0.2978270053863525,0.5127140283584595,2,21.512300491333008,0.3076460063457489,0.4403199851512909,3,115000,0.9991729855537416,20.83309936523437,0.0218390002846717,0.0898649990558624,23,20.707599639892575,20.99850082397461,20.940099716186523,0.048735000193119,0.2269749939441681,23,20.8031005859375,0.0356529988348484,0.2305070012807846,23,115000,0.9993150234222412,19.30030059814453,0.006885000038892,0.0279939994215965,13,19.26729965209961,19.374500274658203,19.382099151611328,0.023574000224471,0.0786190032958984,12,19.300500869750977,0.0153059996664524,0.0481499992311,13,115000,0.9996269941329956,18.61319923400879,0.0115520004183053,0.0463210009038448,13,18.52120018005371,18.672199249267575,18.70240020751953,0.0133619997650384,0.0539630018174648,13,18.605899810791016,0.0141129996627569,0.0538289994001388,13,115000,0.9992139935493468,18.256200790405277,0.0166289992630481,0.0509350001811981,8,18.19379997253418,18.332300186157227,18.280799865722656,0.0285000000149011,0.1222459971904754,9,18.19809913635254,0.0232100002467632,0.0832329988479614,9,115000,0.0224685981907695,78029.0,0.64459014,0.4321600891079775,2342.0596367007065,-21.00542215450368,1.6709865832612616e-05
95,PSO J020.0162-01.3904,-999,-999,-999,106330200162352036,3495829000143302,363156664889287,0,8831265075236,10633,1,1237,64,0.78583018368653,3495829,84554,3,444915712,7,53,20.01618037,-1.39033927,0.0010000000474974,0.0010000000474974,20.01623489077211,-1.3903876222670115,0.0032270463481747,0.0032227111302762,5.210847024237792,0.3215542566515867,1.6581594973149787,1.6555637130534502,55923.96132782826,4.247777462005615,0.9393190300780022,0.342185615860921,-0.0242644602495751,17.95000376492763,-9.11263783057976,139.06036564424585,-63.362170850124464,-999,10,68,9,25,12,12,10,0.9996830224990844,21.303300857543945,0.0472350008785724,0.1590449959039688,9,21.04730033874512,21.55620002746582,21.29080009460449,0.0634410008788108,0.2089210003614425,9,21.29540061950684,0.0747760012745857,0.3431690037250519,9,115000,0.9996960163116456,20.073699951171875,0.0131890000775456,0.0588739998638629,25,19.975000381469727,20.227500915527344,20.040000915527344,0.0230609998106956,0.1005150005221366,25,19.929500579833984,0.0246300008147954,0.0886069983243942,25,16892216,0.9989209771156312,19.694000244140625,0.0090159997344017,0.0400069989264011,10,19.620899200439453,19.72760009765625,19.555700302124023,0.0196460001170635,0.066550001502037,10,19.47669982910156,0.0076219998300075,0.0297529995441436,10,16892216,0.9997609853744508,19.406099319458008,0.0275030005723238,0.0918909981846809,10,19.202600479125977,19.48929977416992,19.303600311279297,0.0381789989769458,0.1172859966754913,10,19.224899291992188,0.0359410010278224,0.1169200018048286,10,16892216,0.9991090297698976,19.28849983215332,0.0596829988062381,0.1856590062379837,10,18.90760040283203,19.579200744628903,19.218000411987305,0.0976400002837181,0.3177280128002167,10,19.17140007019043,0.0613070018589496,0.169291004538536,10,115000,0.0291817451409272,78069.0,0.31899336,0.2897334572378918,1263.802222758535,-20.573210328130425,3.85412593719186e-05
303,PSO J020.0127-01.3363,-999,-999,-999,106390200126446896,3495829000141398,363156664887383,0,8831274081073,10639,1,1237,64,0.158344374185749,3495829,84554,3,444915712,7,53,20.01261911,-1.33625395,0.0010000000474974,0.0010000000474974,20.012693678821645,-1.3363157145647078,0.005151703384675,0.005151703384675,-41.226449890028974,16.881368018080387,3.042345775895271,3.042345775895271,55680.72585111019,25.220104217529297,0.9393612754792906,0.3421352442234091,-0.0233209946209081,17.96741258039964,-9.06124791117944,139.02295630853928,-63.31064792395123,-999,10,67,10,24,14,15,4,0.9996389746665956,21.542400360107425,0.0181959997862577,0.1381720006465912,8,21.22520065307617,21.645299911499023,20.86400032043457,0.106795996427536,0.2555670142173767,10,20.872900009155277,0.1174860000610351,0.2856880128383636,10,16892216,0.9994810223579408,20.646900177001957,0.0305000003427267,0.2243510037660598,23,20.366899490356445,21.06879997253418,19.95840072631836,0.0350899994373321,0.1566870063543319,24,19.93400001525879,0.0179229993373155,0.1533599942922592,24,16892216,0.9994180202484132,20.54129981994629,0.0300280004739761,0.1075159981846809,12,20.411699295043945,20.76930046081543,19.63409996032715,0.0254009999334812,0.1023740023374557,13,19.714799880981445,0.0360370017588138,0.1332859992980957,13,16892216,0.9990190267562866,20.113399505615234,0.033925998955965,0.1518740057945251,13,19.891000747680664,20.38360023498535,19.31180000305176,0.0322760008275508,0.157833993434906,14,19.35950088500977,0.0259390007704496,0.1243629977107048,14,16892216,0.9987670183181764,19.929100036621094,0.0312089994549751,0.0595819987356662,4,19.848499298095703,19.978700637817383,19.63920021057129,0.0863299965858459,0.2620289921760559,4,19.59309959411621,0.1211149990558624,0.1973419934511184,4,115000,0.0295520326909069,78277.0,0.32842237,0.2797275712725828,1297.981194226665,-20.69210188593223,4.076654947825486e-05
380,PSO J019.9995-01.3871,-999,-999,-999,106330199993886018,3495829000134028,363156664880013,0,8831264969468,10633,1,1237,65,0.89543521021999,3495829,84554,3,444915712,7,53,19.99939447,-1.38699977,0.0010000000474974,0.0010000000474974,19.99944744868235,-1.3870540571409014,0.0018893672842733,0.0018893672842733,-1.3984457693400314,1.25690704008474,0.9166571957805902,0.9166571957805902,55885.69495024168,7.390532493591309,0.9394205738446708,0.3419108665839466,-0.0242062956514228,17.93555187975811,-9.103200161085288,139.02226124698782,-63.36308555038276,-999,10,70,11,22,16,13,8,0.9991080164909364,20.29990005493164,0.0383750014007091,0.1686509996652603,9,20.030500411987305,20.49469947814941,19.68219947814941,0.0289650000631809,0.1025270000100135,11,19.67169952392578,0.0303290002048015,0.0968919992446899,11,16892216,0.999508023262024,19.441200256347656,0.0257559996098279,0.1403450071811676,19,19.29159927368164,19.7106990814209,19.048200607299805,0.0176810007542371,0.0626979991793632,20,19.024999618530277,0.0160649996250867,0.058373998850584,20,16892216,0.9994459748268129,19.12849998474121,0.0466269999742507,0.1333529949188232,11,18.96689987182617,19.35260009765625,18.576400756835938,0.0243909992277622,0.0887119993567466,14,18.62730026245117,0.0301799997687339,0.0915459990501403,14,16892216,0.9995229840278624,18.837499618530277,0.0344719998538494,0.1059679985046386,11,18.68429946899414,19.016700744628903,18.451000213623047,0.028966000303626,0.1008199974894523,13,18.40679931640625,0.0265570003539323,0.1034770011901855,13,16892216,0.9984409809112548,18.554500579833984,0.0545840002596378,0.1389340013265609,5,18.4596004486084,18.80820083618164,18.20330047607422,0.0466339997947216,0.1460449993610382,7,18.14419937133789,0.0444439984858036,0.1534889936447143,7,16892216,0.0230642720766615,78354.0,0.15945631,0.4634164304852772,657.7213961715579,-20.140298464300884,9.55070532562621e-05
565,PSO J020.0135-01.3947,-999,-999,-999,106320200135006860,3495829000141894,363156664887879,0,8831265022749,10632,1,1237,64,0.684647762854256,3495829,84554,3,444915712,7,53,20.01348591,-1.39464275,0.0010000000474974,0.0010000000474974,20.0135358076355,-1.39469013296335,0.0046070138332975,0.0046070138332975,17.318809351550705,0.2154600144771556,2.4132633382404207,2.4132633382404207,55896.733654536845,6.585070610046387,0.9393334339710264,0.342140741585223,-0.0243395310495679,17.945827035766925,-9.115602545663805,139.05691577477427,-63.36700870760922,-999,10,62,2,26,13,10,11,0.9984639883041382,22.206600189208984,0.1549690067768097,0.2209060043096542,2,22.071199417114254,22.38109970092773,21.962099075317383,0.0327860005199909,0.0475689992308616,2,21.951799392700195,0.087348997592926,0.1243410035967826,2,115000,0.9997190237045288,20.719200134277344,0.0178110003471374,0.134891003370285,25,20.49970054626465,21.00609970092773,20.38920021057129,0.0420709997415542,0.213029995560646,25,20.3435001373291,0.0382540002465248,0.1777489930391311,25,16892216,0.9987980127334596,20.21139907836914,0.0225729998201131,0.0808510035276413,13,20.05150032043457,20.37859916687012,19.738800048828125,0.0297660008072853,0.1621900051832199,13,19.78160095214844,0.0260049998760223,0.137360006570816,13,16892216,0.9997190237045288,19.69339942932129,0.0470499992370605,0.1279820054769516,9,19.524599075317383,19.88419914245605,19.428199768066406,0.0534650012850761,0.1717910021543502,10,19.350099563598636,0.062279999256134,0.1865109950304031,10,16892216,0.9986039996147156,19.480899810791016,0.0528159998357296,0.1825529932975769,10,19.33919906616211,19.77449989318848,19.079200744628903,0.1410699933767318,0.464691013097763,11,19.09950065612793,0.1433759927749633,0.4186199903488159,11,115000,0.0321159489647213,78539.0,0.45181963,0.5544744722223398,1728.684087612228,-20.904193630643704,2.794127267171625e-05
804,PSO J020.0011-01.3532,-999,-999,-999,106370200010436620,3495829000134764,363156664880749,0,8831273028143,10637,1,1237,64,0.670942688985674,3495829,84554,3,436527104,7,52,20.0010166,-1.35316735,0.0010000000474974,0.0010000000474974,20.00106770249174,-1.3532184672844794,0.0057431142865993,0.0057431142865993,-5.582656638382138,-12.6662989466627,3.4113093643129497,3.4113093643129497,55926.29588741193,4.368903160095215,0.9394241735157371,0.3419422618509481,-0.0236159220555063,17.9500416603418,-9.072496192578134,139.00716073220812,-63.32989575549018,-999,10,58,1,21,16,15,5,0.9985960125923156,22.145700454711918,0.1480250060558319,-999.0,1,22.145700454711918,22.145700454711918,21.89830017089844,0.221680000424385,-999.0,1,21.883100509643555,0.1480250060558319,-999.0,1,115000,0.9995589852333068,20.967199325561523,0.0404560007154941,0.1689569950103759,20,20.66659927368164,21.335399627685547,20.831899642944336,0.0381079986691474,0.2072190046310424,21,20.78260040283203,0.0500999987125396,0.1870740056037902,21,16892216,0.9991250038146972,20.36750030517578,0.0182230006903409,0.0812179967761039,16,20.23970031738281,20.49029922485352,20.21949958801269,0.0367930009961128,0.1073990017175674,16,20.123699188232425,0.0370290018618106,0.1191190034151077,16,16892216,0.9996730089187622,20.098100662231445,0.0251790005713701,0.1061109974980354,15,19.97669982910156,20.29389953613281,19.9424991607666,0.0405989997088909,0.1935749948024749,15,19.85059928894043,0.0401690006256103,0.1962790042161941,15,115000,0.9997320175170898,19.86090087890625,0.0516630001366138,0.1005859971046447,5,19.7716007232666,19.99209976196289,19.850000381469727,0.119666002690792,0.3725470006465912,5,19.626399993896484,0.0841879993677139,0.4211730062961578,5,115000,0.0112712153958522,78778.0,0.518696,0.2554148966979097,1949.4748309701465,-20.70184913072236,1.8234942039760528e-05
882,PSO J019.9961-01.3811,-999,-999,-999,106340199960203147,3495829000132522,363156664878507,0,8831264997359,10634,1,1237,65,0.712006663635379,3495829,84554,3,503635968,7,60,19.99603204,-1.38105304,0.0010000000474974,0.0010000000474974,19.9960809157714,-1.381106251337442,0.0019611261376022,0.0018956317903751,2.1921597506335875,-10.285639411123658,1.2186832372130194,1.179812772284045,56197.80555240559,2.7006676197052,0.9394430181897748,0.3418565258142658,-0.0241025171442083,17.93467221276917,-9.096420239045102,139.011704974835,-63.358154114212425,-999,10,71,10,23,18,12,8,0.9996079802513124,21.34869956970215,0.0454429984092712,0.1193239986896514,7,21.170799255371094,21.479900360107425,21.57900047302246,0.1095810011029243,0.478314995765686,9,21.474000930786133,0.2931689918041229,0.7750210165977478,9,115000,0.9998310208320618,20.284400939941406,0.0134690003469586,0.0710010007023811,22,20.13960075378418,20.40509986877441,20.39579963684082,0.0330770015716552,0.1539089977741241,22,20.28230094909668,0.0238090008497238,0.0951789990067482,22,115000,0.9992539882659912,18.944799423217773,0.0061710001900792,0.0247959997504949,18,18.89229965209961,18.9822998046875,19.05270004272461,0.0254270005971193,0.0694260001182556,18,18.936500549316406,0.0141860004514455,0.0626240000128746,18,115000,0.9996780157089232,18.34129905700684,0.0109839998185634,0.0431349985301494,12,18.256500244140625,18.37689971923828,18.410999298095703,0.0191169995814561,0.0729999989271164,12,18.32040023803711,0.0136620001867413,0.0427250005304813,12,115000,0.9986590147018432,18.045799255371094,0.0175720006227493,0.0513369999825954,7,18.017099380493164,18.127500534057617,18.205299377441406,0.0179970003664493,0.0666219964623451,8,18.069799423217773,0.030409999191761,0.0918179973959922,8,115000,0.0182467893720585,78856.0,0.5707787,0.4374261473159835,2115.469287812523,-21.32952320801415,2.7605513745099133e-05
951,PSO J019.9729-01.3804,-999,-999,-999,106340199729084070,3495829000119220,363156664865204,0,8831273696209,10634,1,1237,65,0.900115757156271,3495829,84554,3,512024576,7,61,19.9728763,-1.3803022,0.0010000000474974,0.0010000000474974,19.97292950209817,-1.3803553704570508,0.0018082284659003,0.0018082284659003,3.806842537093158,-4.923695016039817,0.9448243695970054,0.9448243695970054,55818.89976948076,10.887967109680176,0.9395813717044218,0.3414770065492162,-0.0240894156056912,17.913271486017322,-9.086964351691549,138.96127446375246,-63.36312209639253,-999,5,68,10,23,10,10,15,0.9994120001792908,20.511699676513672,0.0274749994277954,0.1061059981584549,7,20.28809928894043,20.598800659179688,19.990699768066406,0.0464829988777637,0.1247859969735145,10,20.00169944763184,0.0271349996328353,0.0633070021867752,10,16892216,0.9998639822006226,19.29459953308105,0.0227349996566772,0.1360629945993423,19,19.163299560546875,19.5757999420166,18.796499252319336,0.0188490003347396,0.0979579985141754,22,18.84720039367676,0.0244020000100135,0.0928630009293556,22,16892216,0.9993730187416076,18.954700469970703,0.0371939986944198,0.1189740002155304,8,18.76219940185547,19.09760093688965,18.306699752807617,0.0162899997085332,0.0457470007240772,10,18.450000762939453,0.0427279993891716,0.1329029947519302,10,16892216,0.99966299533844,18.750099182128903,0.0292019993066787,0.077125996351242,7,18.601299285888672,18.82740020751953,18.076000213623047,0.0120419999584555,0.0458559989929199,10,18.19239997863769,0.0238060001283884,0.0723389983177185,10,16892216,0.999633014202118,18.479799270629883,0.0511239990592002,0.1382919996976852,13,18.28459930419922,18.64940071105957,17.854000091552734,0.0518379993736743,0.3167909979820251,15,17.908700942993164,0.0495640002191066,0.252573013305664,15,16892216,0.0342344133442721,78925.0,0.2528995,0.7248504546582555,1019.0828693124324,-21.35062904653242,0.0001212921281801
1068,PSO J020.0032-01.3643,-999,-999,-999,106360200031473343,3495829000135867,363156664881852,0,8831273055191,10636,1,1237,64,0.722019402982685,3495829,84554,3,512024576,7,61,20.00312053,-1.36424383,0.0010000000474974,0.0010000000474974,20.00316713136024,-1.3642972109351723,0.0007594116639212,0.0007591450387854,-2.4015354796793043,-6.691927897976956,0.4189096129187683,0.4189000232624256,56119.2444731001,18.00479507446289,0.9394073349791132,0.3419751155246401,-0.0238092282392624,17.94775894260982,-9.083544512254454,139.01777408760333,-63.34011634216167,-999,10,75,14,21,20,12,8,0.9997079968452454,18.52079963684082,0.0098860003054142,0.0429629981517791,8,18.48240089416504,18.605300903320312,18.158899307250977,0.0219659991562366,0.0606000013649463,12,18.180099487304688,0.0206799991428852,0.080205000936985,12,16892216,0.9997119903564452,18.18670082092285,0.0104949995875358,0.0477980002760887,12,18.098499298095703,18.274599075317383,17.8125,0.0519790016114711,0.1645819991827011,17,17.773000717163086,0.0215150006115436,0.1099660024046897,18,16892216,0.9991300106048584,17.748600006103516,0.017510000616312,0.0861279964447021,17,17.62929916381836,17.867300033569336,17.156700134277344,0.01025400031358,0.0436340011656284,19,17.339799880981445,0.0207490008324384,0.0746539980173111,19,16892216,0.999675989151001,17.64590072631836,0.0378709994256496,0.1375519931316375,7,17.576000213623047,17.830400466918945,17.012399673461914,0.0181169994175434,0.0436960011720657,8,17.24720001220703,0.0392789989709854,0.1006470024585723,8,16892216,0.9996839761734008,17.528200149536133,0.0237680003046989,0.0730570033192634,6,17.491600036621094,17.638599395751953,16.978700637817383,0.0298640001565217,0.0733070001006126,8,17.072500228881836,0.0235350001603364,0.06997100263834,8,16892216,5.94796390161196e-06,79042.0,0.10699289,0.7060207361635462,446.96950765186654,-20.53717870396079,0.0002980682299777
