,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,Unnamed: 0,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
20,PSO J315.5712+00.0823,-999,-999,-999,108093155711929126,3589743000013141,78898549240660,0,13331609405217,10809,1,1401,6,0.485265369978981,3589743,18370,3,444915712,7,53,315.5712042,0.08227473,0.0010000000474974,0.0010000000474974,315.57119624992856,0.0822649921691666,0.0022305927138114,0.0022274374207981,-4.100645908154549,6.120994975871623,1.4833444987332198,1.479134013879543,56220.297866736335,8.171221733093262,0.7141201183341769,-0.700021710438037,0.0014357944791624,318.0581157157575,16.246475004616748,49.33564863130101,-28.70534831383401,-999,5,89,16,16,30,11,16,0.999692976474762,20.849199295043945,0.022894000634551,0.0868579968810081,12,20.77589988708496,21.082199096679688,20.399799346923828,0.0422249995172023,0.1603730022907257,12,20.375900268554688,0.0318379998207092,0.1091089993715286,12,16892216,0.9990919828414916,19.898399353027344,0.0210100002586841,0.0751850008964538,14,19.77050018310547,20.02300071716309,19.364900588989254,0.024015000090003,0.0840049982070922,15,19.375200271606445,0.0168609991669654,0.0717139989137649,15,16892216,0.999671995639801,19.51320075988769,0.0145920002833008,0.1133389994502067,19,19.144500732421875,19.622299194335938,18.870399475097656,0.0205320008099079,0.2235630005598068,27,18.962900161743164,0.0102030001580715,0.0575379990041255,26,16892216,0.9991729855537416,19.118099212646484,0.0349779985845088,0.0982770025730133,8,19.034500122070312,19.32200050354004,18.691499710083008,0.030859999358654,0.0849469974637031,9,18.724199295043945,0.0287740007042884,0.0570390000939369,9,16892216,0.9993280172348022,18.90970039367676,0.0332649983465671,0.142203003168106,15,18.80599975585937,19.332399368286133,18.336000442504883,0.0583879984915256,0.2797180116176605,15,18.390499114990234,0.0638829991221427,0.2558839917182922,16,16892216,0.0527309968893471,1273616.0,0.21427277,0.4214293770929522,871.8915720984771,-20.49410269014168,7.528632820802799e-05
68,PSO J315.6095+00.0775,-999,-999,-999,108093156094483468,3589743000020028,78898549247547,0,13331598651445,10809,1,1401,5,0.502836406699229,3589743,18370,3,503635968,7,60,315.60946279,0.07751475,0.0010000000474974,0.0010000000474974,315.60945141535865,0.0775066055582681,0.0001256427153569,0.0001249206158629,6.778935497499498,-10.992480571122114,0.0841661921343216,0.0822284550497533,56169.71231000476,112.99002075195312,0.7145874313790253,-0.6995448327276572,0.0013527450464669,318.0947111531831,16.230600751818642,49.35372870449768,-28.740492321266867,-999,10,96,16,16,32,16,16,0.9996899962425232,15.208600044250488,0.0042489999905228,0.010258000344038,13,15.191900253295898,15.223400115966797,15.262200355529783,0.0018710000440478,0.004923999775201,15,15.19909954071045,0.0012009999481961,0.0029539999086409,15,115000,0.9997310042381288,14.776700019836426,0.0010799999581649,0.0032110000029206,11,14.76990032196045,14.77970027923584,14.82069969177246,0.0017989999614655,0.0056360000744462,14,14.770400047302246,0.0011380000505596,0.0029219998978078,14,115000,0.999200999736786,14.610600471496582,0.001602999982424,0.0083170002326369,24,14.597999572753906,14.627300262451172,14.653200149536133,0.0012290000449866,0.005464999936521,30,14.598199844360352,0.0019650000613182,0.0082769999280571,30,115000,0.9997029900550842,14.559700012207031,0.002907000016421,0.0095049999654293,9,14.546500205993652,14.57229995727539,14.612199783325195,0.0016580000519752,0.0693240016698837,10,14.550299644470217,0.001010000007227,0.003004000056535,10,115000,0.9998080134391784,14.50819969177246,0.0025649999734014,0.0085300002247095,11,14.48989963531494,14.518500328063965,14.538299560546877,0.0042820000089704,0.0196899995207786,15,14.507200241088867,0.0026390000712126,0.0080989999696612,15,115000,0.0398164644385376,1273664.0,0.026263287,0.9405897210744414,111.8107749928024,-20.57845413618652,0.0049478250960583
70,PSO J315.6097+00.0801,-999,-999,-999,108093156097326521,3589743000020080,78898549247599,0,13331598657227,10809,1,1401,5,0.980503039416394,3589743,18370,3,503636096,7,60,315.60974378,0.0800733,0.0010000000474974,0.0010000000474974,315.6097316337911,0.0800657602531095,0.0009866873432142,0.0009951750341558,0.5464500037824604,-3.421585127415445,0.66296859363302,0.6494172197872736,56208.52966970632,4.9500603675842285,0.7145908087690269,-0.6995412948970348,0.0013974106797282,318.09577666513684,16.232967999423217,49.356389205823056,-28.739392905899624,-999,10,92,14,16,33,12,17,0.9995350241661072,19.92009925842285,0.0142230000346899,0.0452370010316371,13,19.830900192260746,19.987499237060547,20.03190040588379,0.0181380007416009,0.075773000717163,13,19.93899917602539,0.0178619995713233,0.0939529985189437,13,115000,0.9996209740638732,18.7726993560791,0.0038719999138265,0.0159339997917413,14,18.75169944763184,18.806900024414062,18.83889961242676,0.0104059996083378,0.0432489998638629,16,18.76160049438477,0.0074959998019039,0.0311689991503953,16,115000,0.999296009540558,18.167400360107425,0.0032909999135881,0.0192249994724988,24,18.1343994140625,18.216100692749023,18.249500274658203,0.0067549999803304,0.054747998714447,28,18.1653995513916,0.0055760000832378,0.025059999898076,29,115000,0.9996950030326844,17.853900909423828,0.007872000336647,0.0242909993976354,9,17.812599182128906,17.894699096679688,17.95439910888672,0.0117429997771978,0.0319509990513324,9,17.864999771118164,0.0059050000272691,0.0186340007930994,9,115000,0.9998189806938172,17.67770004272461,0.0112260002642869,0.0440029986202716,16,17.60890007019043,17.775999069213867,17.81170082092285,0.0272860005497932,0.0948169976472854,17,17.69529914855957,0.0220500007271766,0.0850730016827583,17,115000,0.0372508624665895,1273666.0,0.23448995,0.6238383163420758,949.3151062094042,-21.20488788573885,0.0001222177743722
207,PSO J315.6012+00.1060,-999,-999,-999,108123156012417671,3589743000018314,78898549245833,0,13331610473098,10812,1,1401,5,0.679928016550772,3589743,18370,3,444915712,7,53,315.60125612,0.10602875,0.0010000000474974,0.0010000000474974,315.6012392414398,0.1060239141234852,0.0046258836911494,0.0046258836911494,1.3144011051580062,2.580886399023364,3.023958121002547,3.023958121002547,56351.28538496513,15.004678726196287,0.7144865890910062,-0.6996466892561971,0.0018504653312375,318.0953338622484,16.260275001656957,49.37661399324219,-28.71862474103065,-999,10,65,2,16,34,7,6,0.998661994934082,21.94659996032715,0.0160719994455575,0.0247809998691082,2,21.92350006103516,21.955699920654297,20.772300720214844,0.0939460024237632,0.1384720057249069,2,21.045299530029297,0.0665979981422424,0.1030720025300979,2,16892216,0.999180018901825,21.036399841308597,0.0397620014846324,0.1442150026559829,12,20.855199813842773,21.37989997863769,19.69669914245605,0.0432600006461143,0.1317860037088394,13,19.9960994720459,0.0373799987137317,0.1569480001926422,13,16892216,0.9999330043792723,20.510099411010746,0.0289190001785755,0.1272809952497482,19,20.204700469970703,20.656200408935547,19.076099395751957,0.0269050002098083,0.1618539988994598,32,19.61969947814941,0.032659001648426,0.2028509974479675,32,16892216,0.9996899962425232,19.994600296020508,0.0753820016980171,0.1866160035133361,7,19.77890014648437,20.34079933166504,18.8341007232666,0.0514100007712841,0.1939209997653961,7,19.10950088500977,0.0401359982788562,0.1459829956293106,7,16892216,0.999908983707428,19.52440071105957,0.080603003501892,0.3607859909534454,6,18.805500030517575,19.765199661254883,18.497100830078125,0.1200969964265823,0.2463070005178451,4,18.99740028381348,0.1115679964423179,0.3262189924716949,6,16892216,0.01466015729034,1273803.0,0.31584984,0.3888051387192919,1252.3664078297425,-20.952513091625978,5.565989933848359e-05
216,PSO J315.6058+00.1010,-999,-999,-999,108123156057231572,3589743000019243,78898549246762,0,13331596634974,10812,1,1401,5,0.546627983959977,3589743,18370,3,436527104,7,52,315.60577428,0.10099096,0.0010000000474974,0.0010000000474974,315.60576494070307,0.1009804930762308,0.0035109229449972,0.0035075888527701,1.414826059495711,1.4096190031693585,2.35276516536544,2.3421984050864646,56169.25409898704,2.810878038406372,0.7145419644225582,-0.6995903621979555,0.0017624411720508,318.0982805952567,16.254125101239115,49.374398266605,-28.725109208138047,-999,10,71,14,14,27,11,5,0.9996740221977234,20.54730033874512,0.0149609996005892,0.0649999976158142,11,20.389299392700195,20.615800857543945,20.56130027770996,0.0239589996635913,0.0813219994306564,11,20.46579933166504,0.0251850001513957,0.0927190035581588,11,115000,0.9987289905548096,20.241300582885746,0.0171939991414546,0.0532080009579658,11,20.179100036621094,20.36240005493164,20.30290031433105,0.036285001784563,0.0958670005202293,11,20.215599060058597,0.0173310004174709,0.0602010004222393,11,115000,0.9993150234222412,20.15069961547852,0.0144880004227161,0.069363996386528,25,20.05179977416992,20.31999969482422,20.24029922485352,0.0282739996910095,0.1542939990758896,25,20.122900009155277,0.0255120005458593,0.1418240070343017,25,115000,0.9996579885482788,20.147199630737305,0.0236200001090765,0.0922349989414215,11,19.99530029296875,20.283899307250977,20.217500686645508,0.0619819983839988,0.2378270030021667,11,20.197399139404297,0.0586259998381137,0.2251420021057129,11,115000,0.9990659952163696,19.80179977416992,0.0637779980897903,0.2387419939041137,5,19.40060043334961,20.045900344848636,19.7810001373291,0.2699790000915527,0.5366830229759216,5,19.667499542236328,0.2266400009393692,0.4556480050086975,5,115000,0.0170269261903152,1273812.0,0.2184611,0.1665644865635582,887.998977171831,-19.599717197273275,3.184651748478191e-05
220,PSO J315.6072+00.1033,-999,-999,-999,108123156072434416,3589743000019561,78898549247080,0,13331596639553,10812,1,1401,5,0.386630008357232,3589743,18370,3,503635968,7,60,315.60724195,0.10330342,0.0010000000474974,0.0010000000474974,315.60723052300534,0.1032902937665952,0.0003035403449526,0.0003050317269121,-0.9509009870467504,-39.433518515446586,0.2090806223660111,0.2033822660264023,56323.932523485,11.47869873046875,0.7145598078257283,-0.6995720342576761,0.0018027547351083,318.100445200811,16.255877715040203,49.37749750370606,-28.72516797021379,-999,10,91,15,16,34,12,14,0.9992669820785522,18.266599655151367,0.0051939999684691,0.0147500000894069,12,18.24740028381348,18.293399810791016,18.350799560546875,0.0070299999788403,0.0289120003581047,12,18.27939987182617,0.0073210000991821,0.0164080001413822,12,115000,0.9995790123939514,16.988300323486328,0.0023340000770986,0.0088630001991987,13,16.970699310302734,16.99720001220703,17.048999786376953,0.0020870000589638,0.0063109998591244,13,16.987199783325195,0.0024389999452978,0.0084640001878142,13,115000,0.9996050000190736,16.234600067138672,0.0019600000232458,0.0080450000241398,25,16.21940040588379,16.25079917907715,16.28969955444336,0.0021949999500066,0.0119200004264712,32,16.23979949951172,0.0027499999850988,0.0150380004197359,32,115000,0.9985619783401488,15.905699729919434,0.0039960001595318,0.0172380004078149,6,15.892600059509276,15.938300132751465,15.95460033416748,0.0055129998363554,0.0439749993383884,7,15.897100448608398,0.002428000094369,0.1155859977006912,7,115000,0.9993169903755188,15.719900131225586,0.0038419999182224,0.0184620004147291,9,15.717499732971191,15.758899688720703,15.748700141906738,0.0076029999181628,0.0228380002081394,11,15.708999633789062,0.006000000052154,0.0228610001504421,11,115000,0.0144155253204296,1273816.0,0.174776,0.526409700287938,718.1989280581903,-22.392779160450218,0.0006377084313952
328,PSO J315.5953+00.1498,-999,-999,-999,108183155953400244,3589743000017040,78898549244559,0,13331610792170,10818,1,1401,6,0.234016617978007,3589743,18370,3,503635968,7,60,315.59534842,0.14985453,0.0010000000474974,0.0010000000474974,315.5953357945263,0.1498399364015293,0.0003567083017089,0.0003522051435394,-6.371059917687568,-4.551076967554327,0.2359555436317524,0.2281978660080046,56228.86526524683,18.993488311767575,0.7144132776113272,-0.6997191075824148,0.0026151972601755,318.10296980547105,16.303875422426913,49.4157406408124,-28.690750403411883,-999,10,96,14,16,34,14,18,0.9994149804115297,17.43560028076172,0.0039309998974204,0.0109390001744031,13,17.414600372314453,17.44729995727539,17.502099990844727,0.0021160000469535,0.008046000264585,13,17.43429946899414,0.0023030000738799,0.0089079998433589,13,115000,0.9991620182991028,16.873899459838867,0.0022599999792873,0.0091249998658895,15,16.85460090637207,16.889799118041992,16.933900833129883,0.0052629997953772,0.014487000182271,15,16.86840057373047,0.0017280000029131,0.0072570000775158,15,115000,0.9996979832649232,16.65570068359375,0.0013980000512674,0.0081719998270273,26,16.639400482177734,16.666200637817383,16.715900421142578,0.0029670000076293,0.0147069999948143,31,16.65570068359375,0.0018090000376105,0.0105950003489851,31,115000,0.9990450143814088,16.568500518798828,0.0033839999232441,0.0637580007314682,11,16.368799209594727,16.583499908447266,16.64889907836914,0.005917000118643,0.1526789963245391,14,16.57069969177246,0.0030310000292956,0.0916040018200874,14,115000,0.9994869828224182,16.496599197387695,0.0064969998784363,0.1092860028147697,18,16.170499801635742,16.520700454711914,16.569900512695312,0.0145290000364184,0.1071550026535987,18,16.50119972229004,0.0080369999632239,0.1109900027513504,18,115000,0.0359363211843172,1273924.0,0.056469508,0.7396259480985481,238.7364091622972,-20.13073684119768,0.0007185507082332
400,PSO J315.6283+00.1463,-999,-999,-999,108173156283125986,3589743000023630,78898549251149,0,13331610075654,10817,1,1401,5,0.958815518728286,3589743,18370,3,503635968,7,60,315.62830953,0.14629984,0.0010000000474974,0.0010000000474974,315.6282981141796,0.1462892533281286,0.00012622395412,0.00012639889146,4.513705147158757,-2.625932531238641,0.0939567868806531,0.0925469165453858,56126.15736769114,301.1707763671875,0.7148158229468459,-0.6993081011256729,0.0025532263567863,318.1346798306577,16.290720708948157,49.43187916644315,-28.72073411015945,-999,5,97,14,16,30,17,20,0.9997349977493286,14.848299980163574,0.0184739995747804,0.0448979996144771,10,14.798299789428713,14.918399810791016,14.902000427246094,0.0191239994019269,0.0453369989991188,11,14.846500396728516,0.0166139993816614,0.045109000056982,11,115000,0.999460995197296,14.209099769592283,0.0179539993405342,0.0619070008397102,8,14.110300064086914,14.277600288391112,14.236300468444824,0.0183370001614093,0.0617970004677772,12,14.17710018157959,0.017382999882102,0.0564760006964206,12,115000,0.999547004699707,13.9891996383667,0.0093849999830126,0.0324760004878044,12,13.93560028076172,14.011199951171877,14.02079963684082,0.0100779999047517,0.031394001096487,16,13.956600189208984,0.006798000074923,0.0206230003386735,16,115000,0.9996939897537231,14.039600372314451,0.0486950017511844,0.1381379961967468,11,13.87600040435791,14.267200469970703,14.092599868774414,0.0361539982259273,0.1323699951171875,11,14.034299850463867,0.0457580015063285,0.1414240002632141,11,115000,0.9996219873428344,14.098899841308594,0.0143480002880096,0.1918530017137527,13,13.636199951171877,14.176400184631348,14.11769962310791,0.0176350008696317,0.1730509996414184,18,14.105799674987791,0.0182419996708631,0.1836310029029846,18,115000,0.033959116182895,1273996.0,0.03998478,0.9636769353597648,169.69256038099854,-22.080468638176463,0.0085676526353884
407,PSO J315.6257+00.1457,-999,-999,-999,108173156257375332,3589743000023119,78898549250638,0,13331610799202,10817,1,1401,5,0.0965190791492528,3589743,18370,3,369418240,7,44,-999.0,-999.0,-999.0,-999.0,315.62572816785786,0.1457350477504888,0.0005440257379267,0.0005405002741837,2.366587102742075,-2.2265385006240237,0.4945914171753363,0.4756628946449639,56402.519054853416,32.71146774291992,0.7147844730641856,-0.6993401800276109,0.0025435536761323,318.1319520370509,16.290954658351133,49.42981405152685,-28.718828820249666,-999,0,75,10,12,27,13,13,0.9997320175170898,17.88450050354004,0.0045019998215138,0.0100699998438358,9,17.865299224853516,17.89459991455078,17.961000442504883,0.0059329997748136,0.0184599999338388,9,17.883800506591797,0.0042770002037286,0.0098350001499056,9,280,0.999680995941162,17.34239959716797,0.0029949999880045,0.010321999900043,10,17.31839942932129,17.354999542236328,17.38990020751953,0.00362000009045,0.0111480001360178,11,17.324100494384766,0.0040420000441372,0.0111809996888041,11,280,0.9996650218963624,17.129100799560547,0.0029750000685453,0.0119169997051358,20,17.107900619506836,17.144500732421875,17.18779945373535,0.005741000175476,0.0335979983210563,21,17.13129997253418,0.0032099999953061,0.0107859997078776,22,280,0.9994959831237792,17.043399810791016,0.0030350000597536,0.1820770055055618,13,16.638200759887695,17.087200164794922,17.1205997467041,0.00450100004673,0.1687989979982376,13,17.040599822998047,0.0044630002230405,0.1573349982500076,13,280,0.9988669753074646,16.95509910583496,0.0055849999189376,0.0177500005811452,13,16.917699813842773,16.993600845336914,17.044300079345703,0.0109369996935129,0.0368090011179447,13,16.953899383544922,0.0087740002200007,0.0296519994735717,13,280,0.0322031454881649,1274003.0,0.06397644,0.6919615494920115,270.0002863515581,-19.93537601035289,0.0004692690962196
408,PSO J315.6257+00.1493,-999,-999,-999,108173156257209584,3589743000023114,78898549250633,0,13331610810802,10817,1,1401,5,0.0818407433869697,3589743,18370,3,436527104,7,52,315.62570619,0.14927781,0.0010000000474974,0.0010000000474974,315.62569590033326,0.1492685625926781,0.0027044960800744,0.0026429198912204,-16.165075523175933,-17.244609953334336,1.787012983410339,1.712121070278444,56208.1426571366,5.959911346435547,0.7147839657294442,-0.6993404715437975,0.0026052249399233,318.13299626118135,16.294329347156754,49.43321406448676,-28.716957460376975,-999,5,76,6,16,28,10,16,0.9996079802513124,22.127099990844727,0.0356190018355846,0.2196339964866638,6,21.669700622558597,22.22900009155273,22.337499618530277,0.0699160024523735,0.1404789984226226,4,22.2726993560791,0.0911969989538192,0.213929995894432,5,115000,0.9992589950561525,21.0093994140625,0.0149609996005892,0.0644109994173049,16,20.85409927368164,21.127099990844727,20.99959945678711,0.052251998335123,0.1837120056152343,16,20.93180084228516,0.0276880003511905,0.1414809972047805,16,115000,0.9996140003204346,19.54330062866211,0.0066740000620484,0.0635560005903244,26,19.44420051574707,19.757200241088867,19.6742000579834,0.0159540008753538,0.0886510014533996,24,19.579200744628903,0.0161070004105567,0.0646219998598098,24,115000,0.9993799924850464,18.87739944458008,0.0049180001951754,0.029068000614643,10,18.80620002746582,18.89520072937012,18.957399368286133,0.0308289993554353,0.0941160023212432,10,18.86739921569824,0.0460329987108707,0.0951239988207817,10,115000,0.999813973903656,18.54540061950684,0.0195099990814924,0.0731929987668991,16,18.41650009155273,18.64189910888672,18.700899124145508,0.035725001245737,0.1149339973926544,16,18.619199752807617,0.0347680002450943,0.1425369977951049,16,115000,0.0353476790311733,1274004.0,0.6410511,0.5636291759972849,2331.421595487941,-21.006959711989367,1.6886601506290452e-05
