,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,Unnamed: 0,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
589,PSO J220.2285-02.6080,-999,-999,-999,104872202284740813,3493895000050993,384184824678193,0,11133959965730,10487,1,1287,34,0.765889228103579,3493895,89450,3,503635968,7,60,220.22847976,-2.60799161,0.0010000000474974,0.0010000000474974,220.2284886066166,-2.6080113603103143,0.0003010545670793,0.0002989749813766,-3.58991276144358,-3.813583289767899,0.2182019263258551,0.2142992228487779,56309.03123725283,182.16357421875,-0.7626842054691885,-0.6451684352941434,-0.0455026683606504,218.654449443056,12.40880306334191,348.83304094543894,50.24619905069129,-999,5,85,14,16,30,12,13,0.9995819926261902,16.900400161743164,0.0044530001468956,0.0143389999866485,10,16.88680076599121,16.930299758911133,16.969100952148438,0.0050900001078844,0.0143109997734427,12,16.903200149536133,0.0030499999411404,0.0093909995630383,12,115000,0.9994369745254515,16.47719955444336,0.0100039998069405,0.0438629984855651,11,16.46139907836914,16.603900909423828,16.520000457763672,0.0026700000744313,0.0208149999380111,13,16.467599868774414,0.0040139998309314,0.0126719996333122,13,115000,0.999684989452362,16.323999404907227,0.0027439999394118,0.0116149997338652,24,16.29990005493164,16.344999313354492,16.382299423217773,0.0033060000278055,0.0130519997328519,29,16.325599670410156,0.0026179999113082,0.0148750003427267,29,115000,0.9984009861946106,16.263999938964844,0.0039989999495446,0.0109729999676346,9,16.245899200439453,16.271299362182617,16.345699310302734,0.0055329999886453,0.0257990006357431,11,16.273000717163086,0.005034000147134,0.0244520008563995,11,115000,0.99897301197052,16.22319984436035,0.0031729999464005,0.0127429999411106,10,16.208499908447266,16.251699447631836,16.28219985961914,0.0117750000208616,0.0347750000655651,13,16.21619987487793,0.0040730000473558,0.0140699995681643,13,115000,0.0247366643542363,990614.0,0.049365655,0.8506133076358733,209.0483842858844,-20.275060815595324,0.0010703620327925
799,PSO J220.1911-02.5377,-999,-999,-999,104952201911255199,3493895000045345,384184824672545,0,11133961979270,10495,1,1287,34,0.989424318065331,3493895,89450,3,503635968,7,60,220.19113412,-2.53769073,0.0010000000474974,0.0010000000474974,220.1911436891216,-2.537707319015161,0.0002974538129263,0.000303740596036,-4.98280734550641,-13.38076009396188,0.210604838025653,0.2125142126291074,56278.28567381778,37.31739807128906,-0.7631466353685968,-0.6447067332158808,-0.0442768683591896,218.5957450739828,12.46400734330718,348.8585739118181,50.32409459936781,-999,5,54,10,13,16,6,9,0.9996700286865234,16.788700103759766,0.0066749998368322,0.017077000811696,8,16.76420021057129,16.80030059814453,16.84429931640625,0.0045779999345541,0.0110860001295804,8,16.781099319458008,0.0036710000131279,0.0083360001444816,8,115000,0.998989999294281,16.204099655151367,0.0038989998865872,0.0100250001996755,9,16.18869972229004,16.22100067138672,16.260000228881836,0.0023580000270158,0.0135260000824928,12,16.20170021057129,0.0022780001163482,0.0081639997661113,12,115000,0.9992470145225524,15.992199897766112,0.0013790000230073,0.0057709999382495,13,15.980600357055664,16.00320053100586,16.0393009185791,0.0016509999986737,0.0063559999689459,16,15.98610019683838,0.001983999973163,0.006794000044465,16,115000,0.9988539814949036,15.869000434875488,0.0011259999591857,0.0074689998291432,4,15.865500450134276,15.881400108337402,15.94909954071045,0.003224000101909,0.0229950007051229,6,15.893099784851074,0.0071060000918805,0.0227480009198188,6,115000,0.9988710284233092,15.80239963531494,0.0037219999358057,0.0162860006093978,6,15.770700454711914,15.812899589538574,15.871299743652344,0.0065819998271763,0.0217710006982088,6,15.803400039672852,0.0067730001173913,0.0260840002447366,6,115000,0.0550440740500003,990824.0,0.0417879,0.8835297010827263,177.27007720917027,-20.17538512618185,0.0013579481343608
1829,PSO J220.2250-02.5731,-999,-999,-999,104912202249512651,3493895000050442,384184824677642,0,11133957970526,10491,1,1287,34,0.673287367143936,3493895,89450,3,503635968,7,60,220.22495165,-2.57312719,0.0010000000474974,0.0010000000474974,220.2249674655189,-2.5731462220564056,0.0001368854457815,0.0001300515677953,-1.1971657640580329,3.267582877406721,0.1007409449382304,0.0941891216984879,56182.98539778214,429.8494262695313,-0.7627448528449879,-0.645139324715782,-0.0448947788026899,218.6399179987596,12.440843790091924,348.86370731219097,50.27524462202194,-999,5,79,14,18,26,9,12,0.9994909763336182,15.047800064086914,0.0026509999297559,0.0083929998800158,8,15.032299995422363,15.058799743652344,15.104900360107422,0.0019229999743402,0.0068680001422762,11,15.044699668884276,0.001501000020653,0.0047679999843239,11,115000,0.9996520280838012,14.550399780273438,0.002691000001505,0.0068290000781416,10,14.538000106811523,14.557600021362305,14.601699829101562,0.005654000211507,0.022342000156641,17,14.537799835205078,0.0018429999472573,0.0094609996303915,17,115000,0.99932599067688,14.381799697875977,0.0039610001258552,0.0123789999634027,15,14.361700057983398,14.401399612426758,14.434800148010254,0.0032689999788999,0.0109750004485249,17,14.37559986114502,0.0028480000328272,0.0094720004126429,17,115000,0.999176025390625,14.32859992980957,0.0033629999961704,0.0118110002949833,6,14.309599876403809,14.34179973602295,14.386500358581545,0.0018840000266209,0.0036460000555962,7,14.330400466918944,0.002422000048682,0.0053460001945495,7,115000,0.9995790123939514,14.280500411987305,0.0039519998244941,0.0165730006992816,10,14.24590015411377,14.295900344848633,14.308500289916992,0.0023139999248087,0.0076419999822974,12,14.286800384521484,0.002030000090599,0.008216000162065,12,115000,0.0132527441522729,991854.0,0.042398557,0.872870453701375,179.83531199192305,-21.875238841768045,0.0063145963074816
1933,PSO J220.2244-02.5144,-999,-999,-999,104982202243973092,3493895000050361,384184824677561,0,11133957276805,10498,1,1287,34,0.6793997638667,3493895,89450,3,503635968,7,60,220.22440084,-2.51442697,0.0010000000474974,0.0010000000474974,220.2244173949612,-2.514444445762737,0.0001985867495729,0.0002022318271334,-5.207102158226159,4.532613584013279,0.1478990538285093,0.1487024701492022,56166.13666526431,76.6788558959961,-0.7627857654296935,-0.645161367065891,-0.0438712491673917,218.62068338663315,12.496466219445644,348.92190190878625,50.32068294447845,-999,5,69,13,16,22,9,9,0.9996730089187622,15.905799865722656,0.0038570000324398,0.0127010000869631,7,15.884099960327148,15.918999671936035,15.962400436401367,0.0054549998603761,0.0152860004454851,10,15.90250015258789,0.0015679999487474,0.0038560000248253,10,115000,0.9997450113296508,15.42169952392578,0.0041760001331567,0.0084269996732473,12,15.407600402832031,15.432900428771973,15.473299980163574,0.0032909999135881,0.0135300001129508,16,15.420100212097168,0.0028359999414533,0.008810999803245,16,115000,0.9991390109062196,15.2475004196167,0.0026859999634325,0.0072639998979866,15,15.23639965057373,15.258700370788574,15.30370044708252,0.0032770000398159,0.0093649998307228,17,15.239700317382812,0.0014870000304654,0.0050070001743733,17,115000,0.9985460042953492,15.166399955749512,0.0026839999482035,0.0074069998227059,6,15.158699989318848,15.178199768066406,15.234999656677246,0.0028119999915361,0.0082259997725486,7,15.173700332641602,0.0023960000835359,0.0055129998363554,7,115000,0.998528003692627,15.124799728393556,0.0023880000226199,0.0066740000620484,8,15.118300437927246,15.136199951171877,15.149200439453123,0.0046999999321997,0.0146580003201961,9,15.116999626159668,0.0048460001125931,0.0141839999705553,9,115000,0.0708285968218967,991958.0,0.048569832,0.8635809783779447,205.71679563572675,-21.275305621849853,0.0027770439113452
2147,PSO J220.1618-02.5935,-999,-999,-999,104882201618228147,3493895000041344,384184824668544,0,11133960628455,10488,1,1287,34,0.378644921238203,3493895,89450,3,503635968,7,60,220.16181677,-2.59353224,0.0010000000474974,0.0010000000474974,220.16181079690733,-2.593538943233935,0.0018330207956928,0.0019110298783877,-4.165293641465599,22.771111090937914,1.6129141652950978,1.6183863452614913,56429.08841465026,3.207319021224976,-0.763443261219604,-0.6442878191309401,-0.0452503372128027,218.585024897764,12.401828643919645,348.76738680001824,50.299913198674616,-999,5,64,5,11,27,10,11,0.9993090033531188,21.880699157714844,0.0454769991338253,0.1289660036563873,5,21.702600479125977,22.045799255371094,22.050500869750977,0.0945290029048919,0.3187020123004913,4,21.944299697875977,0.1137500032782554,0.2538760006427765,4,115000,0.9993069767951964,20.61260032653809,0.0384050011634826,0.1105469986796379,8,20.461700439453125,20.779699325561523,20.69440078735352,0.052131999284029,0.158050000667572,8,20.57929992675781,0.0684579983353614,0.2236229926347732,8,115000,0.9992420077323914,18.981800079345703,0.0049680001102387,0.026460999622941,27,18.937400817871094,19.051300048828125,19.086599349975582,0.0068799997679889,0.0389950014650821,27,18.992599487304688,0.0069039999507367,0.0349210016429424,27,115000,0.999584972858429,18.264799118041992,0.0101049998775124,0.0335219986736774,7,18.230899810791016,18.334800720214844,18.36079978942871,0.0184010006487369,0.0623200014233589,8,18.300199508666992,0.0340449996292591,0.0911479964852333,8,115000,0.9996399879455566,17.90239906311035,0.0175459999591112,0.0398910008370876,9,17.84269905090332,17.966800689697266,18.026899337768555,0.0286190006881952,0.0677869990468025,9,17.938899993896484,0.017875999212265,0.053236998617649,9,115000,0.0579511483805523,992172.0,0.53339803,0.9811002944907614,1996.8535166719064,-21.06430403812568,2.426773256636217e-05
2442,PSO J220.2357-02.5197,-999,-999,-999,104972202356966785,3493895000052007,384184824679207,0,11133957436276,10497,1,1287,34,0.784439402431659,3493895,89450,3,503635968,7,60,220.2357044,-2.51966393,0.0010000000474974,0.0010000000474974,220.2357205442455,-2.5196893905036983,0.0004136877100811,0.0004150641865583,1.6494983454300345,3.2607760705612057,0.3293060349900669,0.3306162899413004,56307.83853641567,54.85438919067383,-0.7626554059621085,-0.6453092379273169,-0.0439627024014347,218.6333477573432,12.495000919226944,348.9302254674511,50.3094235366297,-999,5,74,15,14,24,10,11,0.999684989452362,17.82029914855957,0.0023930000606924,0.0142059996724128,13,17.784799575805664,17.83370018005371,17.87649917602539,0.0054779998026788,0.0178779996931552,15,17.80699920654297,0.0056859999895095,0.0175139997154474,15,115000,0.9994980096817015,17.06170082092285,0.0037080000620335,0.0183540005236864,13,17.04290008544922,17.10379981994629,17.09510040283203,0.005915000103414,0.0227049998939037,14,17.044599533081055,0.0059299999848008,0.0107359997928142,14,115000,0.9994490146636964,16.765899658203125,0.0033730000723153,0.0110170003026723,21,16.744800567626953,16.787700653076172,16.74020004272461,0.0024019998963922,0.0124909998849034,23,16.693300247192383,0.0023149999324232,0.0091049997135996,23,115000,0.9993429780006408,16.577600479125977,0.0126620000228285,0.0295170005410909,9,16.545299530029297,16.622100830078125,16.545299530029297,0.005717999767512,0.0152350002899765,10,16.482200622558594,0.0035590000916272,0.0100969998165965,10,16892216,0.9996970295906068,16.486499786376953,0.0051440000534057,0.017833000048995,9,16.470699310302734,16.523099899291992,16.390899658203125,0.009541000239551,0.0330099985003471,10,16.35059928894043,0.0084130000323057,0.0250749997794628,10,16892216,0.0674421951129592,992467.0,0.0785823,0.8954802281854428,330.5057832342231,-20.681003551632628,0.0006223623244805
2518,PSO J220.2282-02.5549,-999,-999,-999,104932202282104610,3493895000050944,384184824678144,0,11133958209835,10493,1,1287,34,0.707289806294525,3493895,89450,3,503635968,7,60,220.22820939,-2.55483621,0.0010000000474974,0.0010000000474974,220.22824559683968,-2.5548541576926307,0.0001128599639168,0.0001128949000603,16.85745376351825,-3.730386974070036,0.0790018744644929,0.0787476096301689,56044.26123919965,29840.7578125,-0.7627188445031677,-0.6451921873203172,-0.0445758416698692,218.637273761613,12.45924406381002,348.8859621534322,50.287202552029775,-999,5,84,15,14,27,15,13,0.999459981918335,14.197400093078612,0.0016560000367462,0.0062170000746846,9,14.190699577331545,14.209099769592283,14.250200271606444,0.0006859999848529,0.0020679999142885,12,14.194100379943848,0.0009219999774359,0.0035999999381601,12,115000,0.9997000098228456,13.76319980621338,0.0047470000572502,0.0132039999589324,4,13.744099617004396,13.767999649047852,13.785099983215332,0.0109799997881054,0.0225620009005069,5,13.74470043182373,0.0014659999869763,0.0028409999795258,5,115000,0.9996230006217957,13.850199699401855,0.0010430000256747,-999.0,1,13.850199699401855,13.850199699401855,13.631699562072754,0.0010000000474974,-999.0,1,13.588600158691406,0.0010430000256747,-999.0,1,16892216,0.9990450143814088,13.534899711608888,0.0047450000420212,0.0166090000420808,7,13.508600234985352,13.54170036315918,13.583999633789062,0.0027819999959319,0.008368999697268,11,13.52750015258789,0.0038149999454617,0.0127429999411106,11,16892216,0.9996100068092346,13.481300354003906,0.0040589999407529,0.0104080000892281,9,13.466699600219728,13.497300148010254,13.50189971923828,0.0014329999685287,0.0043500000610947,13,13.480999946594238,0.0020049999002367,0.0076620001345872,13,115000,0.031548697371095,992543.0,0.044047333,0.8620924038908522,186.75808535356225,-22.74737592231807,0.0130734901240884
2585,PSO J220.2588-02.5555,-999,-999,-999,104932202587703817,3493895000055492,384184824682692,0,11133957800444,10493,1,1287,34,0.0593368309171282,3493895,89450,3,503635968,7,60,220.25879641,-2.55545908,0.0010000000474974,0.0010000000474974,220.2588130465872,-2.555480926490277,0.0001500830616533,0.0001474611676244,14.167970720731557,1.459288963101221,0.1117052649567157,0.1085561725843765,56277.010825562174,146.9845428466797,-0.7623741520715481,-0.6455986928398905,-0.04458676997286,218.66720224282076,12.468145113131836,348.92203365212924,50.26715735253057,-999,5,67,12,14,24,11,6,0.9996560215950012,15.772700309753418,0.0019209999591112,0.0048420000821352,7,15.764399528503418,15.77589988708496,15.837499618530272,0.0012039999710395,0.0032629999332129,9,15.774900436401367,0.0021410000044852,0.0080409999936819,9,115000,0.9991620182991028,15.008899688720703,0.0022780001163482,0.0085270004346966,10,14.996299743652344,15.021599769592283,15.075799942016602,0.0009950000094249,0.0138980001211166,12,15.006799697875977,0.0024520000442862,0.0074959998019039,12,115000,0.9992370009422302,14.725000381469728,0.0027789999730885,0.0107019999995827,18,14.703900337219238,14.7431001663208,14.774800300598145,0.0027799999807029,0.0134159997105598,24,14.722700119018556,0.0018850000342354,0.0065850000828504,24,115000,0.9995579719543456,14.603699684143066,0.0021029999479651,0.0065460000187158,7,14.59119987487793,14.611499786376951,14.67710018157959,0.0047089997678995,0.014560000039637,10,14.599599838256836,0.0021349999587982,0.0082539999857544,10,115000,0.9977949857711792,14.516300201416016,0.0021939999423921,0.0034260000102221,3,14.51580047607422,14.520299911499023,14.628899574279783,0.0378279983997345,0.0625320002436637,3,14.578499794006348,0.033534999936819,0.0581759996712207,4,115000,0.049418640587531,992610.0,0.046397038,0.909285118637583,196.61285121032893,-21.59530834466449,0.0040822494144795
2833,PSO J220.2524-02.5685,-999,-999,-999,104912202524048298,3493895000054455,384184824681655,0,11133957722963,10491,1,1287,34,0.95448372601949,3493895,89450,3,503635968,7,60,220.25241445,-2.56843157,0.0010000000474974,0.0010000000474974,220.2524282944787,-2.568455480216684,0.0003921527246559,0.000394941582428,4.05754506705289,-6.820425683183409,0.2835538762187285,0.2791098743520849,56357.89590153325,59.31718444824219,-0.7624383642567358,-0.645507193166566,-0.0448129923095365,218.66513642211584,12.453832802608725,348.9013820492357,50.26127249619973,-999,5,68,9,10,25,10,14,0.9994410276412964,17.566999435424805,0.0025019999593496,0.0076049999333918,7,17.55739974975586,17.577600479125977,17.653900146484375,0.0062830001115798,0.0214809998869895,9,17.57469940185547,0.0052459998987615,0.0142890000715851,9,115000,0.9996939897537231,16.88330078125,0.0084370002150535,0.0165940001606941,9,16.861400604248047,16.909700393676758,16.94860076904297,0.0057830000296235,0.0260600000619888,10,16.877899169921875,0.0059750000946223,0.0167900007218122,10,115000,0.9994410276412964,16.611299514770508,0.0030569999944418,0.0113199995830655,19,16.586000442504883,16.63409996032715,16.686800003051758,0.0056969998404383,0.0233539994806051,24,16.625600814819336,0.0031590000726282,0.017255000770092,24,115000,0.999006986618042,16.504600524902344,0.0044419998303055,0.0194620005786418,10,16.469900131225586,16.518999099731445,16.56399917602539,0.0033579999580979,0.0106149995699524,10,16.50079917907715,0.003969999961555,0.0153949996456503,10,115000,0.9990370273590088,16.411699295043945,0.0056250002235174,0.0191890001296997,13,16.383899688720703,16.43939971923828,16.484600067138672,0.0064989998936653,0.0196400005370378,13,16.41830062866211,0.0060700001195073,0.0220560003072023,13,115000,0.0371254062678553,992858.0,0.065488756,0.8595690922798658,276.285732681133,-20.46465191071444,0.0007296991611389
2977,PSO J220.1549-02.6071,-999,-999,-999,104872201548491911,3493895000040635,384184824667835,0,11133960734168,10487,1,1287,34,0.285258578402231,3493895,89450,3,503635968,7,60,220.15486026,-2.60708631,0.0010000000474974,0.0010000000474974,220.1548539954977,-2.60709799757044,0.0002776664510058,0.0002872574124124,0.4611913808061887,-17.602592258986213,0.2183277993874139,0.2242753978025626,56191.299472505896,150.62808227539062,-0.7635132785003229,-0.6441881943214519,-0.0454867436794016,218.58258493504928,12.386778689978549,348.74545490867405,50.29392221201861,-999,5,67,12,12,23,9,11,0.999534010887146,16.386199951171875,0.0043150000274181,0.0138050001114606,9,16.364099502563477,16.40559959411621,16.454599380493164,0.0036559998989105,0.0111630000174045,10,16.3882999420166,0.0019249999895691,0.0064539997838437,10,115000,0.9996179938316344,15.851200103759766,0.0141070000827312,0.0416710004210472,9,15.81429958343506,15.952899932861328,15.87399959564209,0.0021689999848604,0.0266999993473291,10,15.836400032043455,0.0009149999823421,0.002600000007078,10,115000,0.9991570115089417,15.651900291442873,0.0020349998958408,0.0078969998285174,12,15.637299537658691,15.659000396728516,15.711299896240234,0.0038699998985975,0.0093980003148317,16,15.651900291442873,0.0032430000137537,0.0094820000231266,17,115000,0.999185025691986,15.58139991760254,0.0055390000343322,0.0095579996705055,5,15.569000244140623,15.59280014038086,15.646300315856934,0.0071470001712441,0.0136660002171993,7,15.586799621582031,0.0039789997972548,0.0068529997952282,7,115000,0.9986640214920044,15.52519989013672,0.003400000045076,0.0111400000751018,8,15.508299827575684,15.543399810791016,15.575599670410156,0.0040600001811981,0.0078250002115964,10,15.523699760437012,0.003713000100106,0.010687000118196,10,115000,0.0679460218316986,993002.0,0.04591742,0.8668912620959365,194.60224166864907,-20.75252027684873,0.0019173987209944
