,objName,objAltName1,objAltName2,objAltName3,objID,uniquePspsOBid,ippObjID,surveyID,htmID,zoneID,tessID,projectionID,skyCellID,randomID,batchID,dvoRegionID,processingVersion,objInfoFlag,astrometryCorrectionFlag,qualityFlag,raStack,decStack,raStackErr,decStackErr,raMean,decMean,raMeanErr,decMeanErr,pmra,pmdec,pmraErr,pmdecErr,epochMean,posMeanChisq,cx,cy,cz,lambda,beta,l,b,nStackObjectRows,nStackDetections,nDetections,ng,nr,ni,nz,ny,gQfPerfect,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagStd,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,gMeanKronMag,gMeanKronMagErr,gMeanKronMagStd,gMeanKronMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagStd,gMeanApMagNpt,gFlags,rQfPerfect,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagStd,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,rMeanKronMag,rMeanKronMagErr,rMeanKronMagStd,rMeanKronMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagStd,rMeanApMagNpt,rFlags,iQfPerfect,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagStd,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,iMeanKronMag,iMeanKronMagErr,iMeanKronMagStd,iMeanKronMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagStd,iMeanApMagNpt,iFlags,zQfPerfect,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagStd,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,zMeanKronMag,zMeanKronMagErr,zMeanKronMagStd,zMeanKronMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagStd,zMeanApMagNpt,zFlags,yQfPerfect,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagStd,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,yMeanKronMag,yMeanKronMagErr,yMeanKronMagStd,yMeanKronMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagStd,yMeanApMagNpt,yFlags,distance,Unnamed: 0,z_phot,odds,D_L_Mpc,Absolute_Mag_r,Calculated_Flux
72,PSO J320.9448+10.8684,-999,-999,-999,121043209447602644,3594779000023493,119361436146628,0,14092654270796,12104,1,1580,71,0.988688337606088,3594779,27791,3,503635968,7,60,320.94476879,10.8684698,0.0010000000474974,0.0010000000474974,320.9447823005826,10.868417503601986,0.0004540018086623,0.0004576412374986,0.4019397486738871,-3.343383894997756,0.3639104238392468,0.364185329074017,56225.81465788004,68.23209381103516,0.7626101652829583,-0.6187673811153689,0.1885541404337936,327.1343904822905,24.779434903103,62.80692262670126,-26.945991131279857,-999,5,56,8,9,15,11,13,0.9997100234031676,16.95439910888672,0.0039530000649392,0.0123180001974105,6,16.943599700927734,16.970699310302734,16.97010040283203,0.0036279999185353,0.0086529999971389,8,16.907100677490234,0.0043609999120235,0.0124469995498657,8,115000,0.999422013759613,16.625699996948242,0.0048130000941455,0.0148130003362894,7,16.604400634765625,16.643299102783203,16.627199172973633,0.0022579999640583,0.0075739999301731,9,16.57990074157715,0.0034169999416917,0.0108850002288818,9,115000,0.9993550181388856,16.540599822998047,0.0045520002022385,0.0176710002124309,12,16.513500213623047,16.5669002532959,16.50189971923828,0.0048890002071857,0.0183070003986358,13,16.450300216674805,0.0032369999680668,0.0109559996053576,13,115000,0.9996830224990844,16.502199172973633,0.0088299997150897,0.022436000406742,8,16.458099365234375,16.521400451660156,16.493099212646484,0.004335000179708,0.0219999998807907,9,16.426300048828125,0.0043080002069473,0.014046000316739,9,115000,0.9990820288658142,16.501399993896484,0.008733999915421,0.0603570006787776,12,16.334199905395508,16.556800842285156,16.458200454711914,0.0188960004597902,0.0925270020961761,12,16.3981990814209,0.0147789996117353,0.0672720000147819,12,115000,0.0293445357034817,1282870.0,0.04412049,0.8836905415572003,187.06469327175023,-19.893375759705044,0.000940517003537
122,PSO J320.9205+10.9059,-999,-999,-999,121083209204867650,3594779000020992,119361436144127,0,14092654061867,12108,1,1580,71,0.0550293950876495,3594779,27791,3,503635968,7,60,320.92048828,10.90597502,0.0010000000474974,0.0010000000474974,320.92050230018657,10.9059180756158,0.0002253532433929,0.0002226057994409,4.354156423323132,-9.829887071868749,0.1684609578279099,0.1650875350062608,56203.28824226647,418.2341003417969,0.762251921041277,-0.6190125635682767,0.189196868403028,327.1237544521034,24.82282562927864,62.823450224500405,-26.90405277754195,-999,5,53,8,13,14,8,10,0.9992610216140748,16.029600143432617,0.0063669998198747,0.0128260003402829,5,16.011499404907227,16.04360008239746,16.08880043029785,0.0029209998901933,0.0066999997943639,5,16.023099899291992,0.0028329999186098,0.006434999871999,5,115000,0.9994270205497742,15.538900375366213,0.0033430000767111,0.0105330003425478,10,15.521300315856934,15.545499801635742,15.598899841308594,0.0022050000261515,0.0080310003831982,13,15.537099838256836,0.0014730000402778,0.0044900001958012,13,115000,0.9991559982299804,15.349900245666504,0.0007280000136233,0.0021100000012665,10,15.347299575805664,15.353599548339844,15.404500007629396,0.0016189999878406,0.005384000018239,14,15.346699714660645,0.0011089999461546,0.0043569998815655,14,115000,0.9991599917411804,15.292400360107422,0.0032909999135881,0.0063160001300275,7,15.281100273132324,15.300000190734863,15.348699569702148,0.0048989998176693,0.0099400002509355,8,15.286399841308594,0.0026430001016706,0.0046890000812709,8,115000,0.999559998512268,15.246800422668455,0.0074959998019039,0.020406000316143,9,15.229399681091309,15.284600257873535,15.275799751281738,0.0067389998584985,0.0213900003582239,10,15.23050022125244,0.004935999866575,0.022019000723958,10,115000,0.0328276003862524,1282920.0,0.031934883,0.9442020542109536,135.7801109141457,-20.224537814799632,0.0024218252771938
217,PSO J320.9394+10.9320,-999,-999,-999,121113209394288936,3594779000022880,119361436146015,0,14092656037210,12111,1,1580,71,0.698128452243403,3594779,27791,3,503636096,7,60,320.93942971,10.93204219,0.0010000000474974,0.0010000000474974,320.93944039527287,10.93198774738046,0.0004139511621089,0.0004037754918446,15.734676035424531,7.087376217971564,0.2869883476424424,0.2780516731910403,56040.01964153488,100.48722839355467,0.762389560789918,-0.6187062713214353,0.1896436327064058,327.1528043039492,24.841013005131416,62.859325913046725,-26.902537893093257,-999,5,46,10,9,12,5,10,0.9990789890289308,16.827899932861328,0.0017669999506324,0.0054839998483657,7,16.818899154663086,16.8356990814209,16.881099700927734,0.0052290000021457,0.0159249994903802,10,16.811500549316406,0.004141999874264,0.0120510002598166,10,115000,0.9988719820976256,16.47100067138672,0.0051060002297163,0.0123039996251463,6,16.451200485229492,16.483600616455078,16.526899337768555,0.0056850002147257,0.0183140002191066,7,16.467100143432617,0.0040629999712109,0.0148590002208948,7,115000,0.9996489882469176,16.321500778198242,0.0017209999496117,0.0048190001398324,7,16.317899703979492,16.331600189208984,16.390100479125977,0.0022410000674426,0.0074249999597668,10,16.325899124145508,0.0022450000979006,0.006091000046581,10,115000,0.9977890253067015,16.305700302124023,0.0040339999832212,0.011990999802947,4,16.28529930114746,16.30970001220703,16.36400032043457,0.0048210001550614,0.0124279996380209,4,16.301599502563477,0.0011739999754354,0.0027749999426305,4,115000,0.9988719820976256,16.257200241088867,0.0011729999678209,0.0112340003252029,6,16.253999710083008,16.27549934387207,16.323299407958984,0.0113899996504187,0.0585349984467029,9,16.256799697875977,0.0070310002192854,0.0161169990897178,9,115000,0.0375415837805359,1283015.0,0.03918958,0.898338857143504,166.3469750538695,-19.74170091682013,0.0010343095891648
354,PSO J320.9586+10.9263,-999,-999,-999,121113209586102099,3594779000025022,119361436148157,0,14092656839506,12111,1,1580,71,0.0501549495851201,3594779,27791,3,503635968,7,60,320.958611,10.92634881,0.0010000000474974,0.0010000000474974,320.95862527217173,10.92629396139952,0.0002097161289101,0.0002060299269958,-21.91934458104021,-12.797718322770764,0.166920666627579,0.1629494286416106,56241.12776799759,401.7161560058594,0.7626113188803372,-0.6184628263050787,0.189546059822743,327.1701700297313,24.829248924127416,62.86736977456162,-26.92084949587447,-999,5,55,7,11,16,10,11,0.9996979832649232,15.776700019836426,0.0065489998087286,0.0167650002986192,4,15.756099700927734,15.791399955749512,15.824899673461914,0.0015699999639764,0.0046080001629889,5,15.760499954223633,0.0030930000357329,0.0062009999528527,5,115000,0.9996899962425232,15.210599899291992,0.0032430000137537,0.0116119999438524,9,15.196800231933594,15.23169994354248,15.258500099182127,0.0021939999423921,0.0068509997799992,10,15.198599815368652,0.0020729999523609,0.0070179998874664,10,115000,0.9991840124130248,14.961299896240234,0.0011380000505596,0.0037889999803155,9,14.955599784851074,14.968299865722656,15.009400367736816,0.0009660000214353,0.0028089999686926,10,14.951199531555176,0.0013670000480487,0.0040670000016689,11,115000,0.9993569850921632,14.853699684143066,0.0018250000430271,0.0084060002118349,8,14.839500427246094,14.865799903869627,14.908100128173828,0.0025530001148581,0.0079140001907944,10,14.846199989318848,0.0030429998878389,0.0067449999041855,10,115000,0.9990919828414916,14.77400016784668,0.00617800001055,0.0194860007613897,10,14.73610019683838,14.80049991607666,14.814200401306152,0.005810999777168,0.0233670007437467,10,14.777700424194336,0.0046609998680651,0.0325010009109973,10,115000,0.0301403335255316,1283152.0,0.0345338,0.9552342363732372,146.74217284150737,-20.73893462004828,0.0033301512360059
418,PSO J320.9735+10.8976,-999,-999,-999,121073209735317693,3594779000026661,119361436149796,0,14092654710214,12107,1,1580,71,0.655029347776463,3594779,27791,3,503635968,7,60,320.97352916,10.89767468,0.0010000000474974,0.0010000000474974,320.9735448446148,10.89762296179957,0.0001370598102249,0.0001328211067745,2.6189306332608275,-7.206435558988431,0.1042397893031492,0.1022785640433197,56024.0890023589,764.3430786132812,0.7628459268804186,-0.6183238719917055,0.1890547041655929,327.1746009174024,24.79730108908376,62.85228210160703,-26.95010547012542,-999,5,59,8,11,15,12,13,0.9989150166511536,14.576000213623049,0.0014880000380799,0.0039269998669624,5,14.569499969482422,14.579999923706056,14.61740016937256,0.0013549999566748,0.0032379999756813,7,14.56470012664795,0.0038509999867528,0.0093250004574656,7,115000,0.9986559748649596,13.89050006866455,0.0019600000232458,0.0027729999274015,2,13.888500213623049,13.892499923706056,13.946399688720703,0.0057749999687075,0.0155980000272393,4,13.887399673461914,0.003224000101909,0.0071939998306334,4,115000,0.9990270137786864,13.631400108337402,0.0039320001378655,0.0090359998866915,5,13.619099617004396,13.64229965209961,13.67930030822754,0.0001239999983226,0.0003739999956451,6,13.610400199890137,0.0030429998878389,0.0076449997723102,6,115000,0.9994019865989684,13.518699645996094,0.0029339999891817,0.0093689998611807,9,13.505399703979492,13.532899856567385,13.570500373840332,0.0048659997992217,0.0185920000076293,11,13.502099990844728,0.0034219999797642,0.0099240001291036,11,115000,0.9992280006408693,13.435199737548828,0.0013279999839141,0.006000000052154,6,13.431300163269045,13.447199821472168,13.448699951171877,0.0026579999830573,0.0211800001561641,11,13.437299728393556,0.0012290000449866,0.0049499999731779,11,115000,0.0205861117924402,1283216.0,0.037767664,0.9524572810874782,160.36447483927,-22.243460434886305,0.0111472525670539
431,PSO J320.9801+10.8975,-999,-999,-999,121073209800457557,3594779000027287,119361436150422,0,14092654543855,12107,1,1580,71,0.11235522209886,3594779,27791,3,503636096,7,60,320.98004762,10.8975546,0.0010000000474974,0.0010000000474974,320.980064247285,10.897502915667213,0.0002070781133232,0.0002047349746882,0.1137282879612373,13.643935610469716,0.1493881656308593,0.1475650147770159,56161.167243980686,318.1577453613281,0.7629165856945157,-0.6182373169176832,0.1890526467485888,327.181187512419,24.7950180646328,62.85662685434185,-26.955201152158573,-999,5,57,8,11,15,11,12,0.9997349977493286,15.62030029296875,0.0016670000040903,0.0054080002009868,7,15.610400199890137,15.624699592590332,15.668399810791016,0.0036939999554306,0.0107249999418854,8,15.60919952392578,0.0040560001507401,0.010161000303924,8,115000,0.9994109869003296,15.222100257873535,0.0030930000357329,0.0092000002041459,9,15.210200309753418,15.236000061035156,15.276100158691406,0.0019219999667257,0.0065279998816549,9,15.220600128173828,0.0020900000818073,0.00634799990803,10,115000,0.999464988708496,15.071000099182127,0.0025100000202655,0.007426000200212,10,15.063799858093262,15.083499908447266,15.115599632263184,0.0019059999613091,0.0071310000494122,12,15.059599876403809,0.0025929999537765,0.0076419999822974,12,115000,0.9988279938697816,15.02649974822998,0.0012629999546334,0.0036730000283569,5,15.019800186157228,15.027799606323242,15.082500457763672,0.0023229999933391,0.0069400002248585,8,15.02519989013672,0.0025639999657869,0.007400999777019,8,115000,0.9995459914207458,14.994199752807615,0.0027179999742656,0.0149029996246099,11,14.959600448608398,15.013500213623049,15.027799606323242,0.0050110002048313,0.0155840003862977,12,14.99530029296875,0.0022599999792873,0.0082750003784894,12,115000,0.0269798065292752,1283229.0,0.026894836,0.9476698665960038,114.48290059473698,-20.181922254961577,0.0032755757949325
567,PSO J320.9264+10.8777,-999,-999,-999,121053209263653795,3594779000021616,119361436144751,0,14092653891488,12105,1,1580,71,0.993767053814388,3594779,27791,3,503635968,7,60,320.9263677,10.87776266,0.0010000000474974,0.0010000000474974,320.926377495903,10.877704164035135,0.0003439706919275,0.0003402619756324,2.1545443352842444,-5.184511075524586,0.2922967047616323,0.2874295459441986,56338.92841100978,157.6886444091797,0.7623876267989356,-0.6189930466753304,0.1887133134452339,327.1191595226358,24.794337172807488,62.80259201717499,-26.926031684476506,-999,5,49,8,6,14,10,11,0.9997699856758118,16.578500747680664,0.0030410001054406,0.0077100000344216,7,16.568199157714844,16.590999603271484,16.63599967956543,0.0044800001196563,0.0129349995404481,8,16.572900772094727,0.0035429999697953,0.0097439996898174,8,115000,0.9984059929847716,15.972000122070312,0.005034000147134,0.0087190000340342,2,15.970499992370604,15.980600357055664,15.985699653625488,0.0047570001333951,0.0072010001167654,3,15.93589973449707,0.0046140002086758,0.0071930000558495,3,115000,0.9996989965438844,15.710100173950195,0.0013630000175908,0.0046850000508129,9,15.702099800109863,15.716400146484377,15.76389980316162,0.0021599999163299,0.0069220000877976,11,15.701199531555176,0.0015640000347048,0.0052620000205934,11,115000,0.9984809756278992,15.604999542236328,0.0013419999741017,0.0044530001468956,7,15.601699829101562,15.61359977722168,15.671799659729004,0.0039860000833868,0.0127980001270771,8,15.607399940490724,0.00251100002788,0.0071240002289414,8,115000,0.9990879893302916,15.5378999710083,0.0091669997200369,0.0279329996556043,6,15.51099967956543,15.585700035095217,15.576899528503418,0.0081040002405643,0.0257109999656677,7,15.528400421142578,0.0063769998960196,0.0187209993600845,7,115000,0.0320226857819105,1283365.0,0.043960545,0.951575866108946,186.3938657168057,-20.52333853427399,0.0016922798477608
668,PSO J320.9643+10.8989,-999,-999,-999,121073209643019249,3594779000025668,119361436148803,0,14092654718415,12107,1,1580,71,0.156714042794624,3594779,27791,3,503636096,7,60,320.96429969,10.89897407,0.0010000000474974,0.0010000000474974,320.96431352159607,10.898922766700297,0.0008973156537101,0.0008734292461031,4.190855203345023,-8.208663617347437,0.7306968323139734,0.6885819863902835,56273.58560910146,12.780889511108398,0.7627429629104643,-0.6184440700895881,0.1890769808876546,327.16569744912545,24.801611636579317,62.84713561188982,-26.942177127743022,-999,5,48,4,8,13,12,11,0.998449981212616,18.99410057067871,0.0104759996756911,0.0199769996106624,3,18.973899841308597,19.0137996673584,19.09079933166504,0.0244260001927614,0.0426449999213218,3,19.007299423217773,0.0257200002670288,0.0428219996392726,3,115000,0.9989719986915588,17.9330997467041,0.0046839998103678,0.01269599981606,6,17.9143009185791,17.952999114990234,18.00629997253418,0.008921000175178,0.0249109994620084,8,17.9325008392334,0.0060959998518228,0.0159869994968175,8,115000,0.99964702129364,17.401100158691406,0.0083539998158812,0.0337500013411045,12,17.34760093688965,17.449399948120117,17.49519920349121,0.009527999907732,0.0315980017185211,13,17.410900115966797,0.0097880000248551,0.0366900004446506,13,115000,0.999684989452362,17.112199783325195,0.0095729995518922,0.0270290002226829,9,17.078800201416016,17.159900665283203,17.19300079345703,0.0074800001457333,0.0308979991823434,9,17.11210060119629,0.0084090000018477,0.0259649995714426,9,115000,0.998687982559204,16.954599380493164,0.0032210000790655,0.0195160005241632,10,16.94099998474121,16.99720001220703,17.059600830078125,0.019225999712944,0.0766460001468658,11,16.96809959411621,0.010878000408411,0.0765750035643577,11,115000,0.011707556498667,1283466.0,0.15882418,0.8537104541250533,655.215080318157,-21.239938741751,0.0002649767247409
748,PSO J320.9266+10.9138,-999,-999,-999,121093209266267088,3594779000021642,119361436144777,0,14092654051241,12109,1,1580,71,0.0256714020163486,3594779,27791,3,503635968,7,60,320.92662722,10.91383466,0.0010000000474974,0.0010000000474974,320.92663989287126,10.913779171918462,0.0002750735049184,0.0002706932505985,-2.3275427604342207,-3.229044716642411,0.2159616598309845,0.2132754565401101,56218.21656606195,535.5433959960938,0.76229806649092,-0.6189145390154792,0.1893315906537041,327.13294490187724,24.828173846351653,62.834560329964624,-26.90391989508708,-999,5,47,8,7,13,9,10,0.9996659755706788,16.300600051879883,0.0031880000606179,0.0093250004574656,7,16.282800674438477,16.309600830078125,16.360700607299805,0.0037000000011175,0.0107950000092387,8,16.296899795532227,0.0023459999356418,0.0068669999018311,8,115000,0.9990609884262084,15.708100318908691,0.002521000104025,0.0054379999637603,4,15.703200340270996,15.714599609375,15.758000373840332,0.005739000160247,0.01475500036031,7,15.701899528503418,0.0025569999124854,0.0072090001776814,7,115000,0.9985169768333436,15.4975004196167,0.0011630000080913,0.0034739999100565,9,15.49180030822754,15.503600120544434,15.557000160217283,0.0026340000331401,0.0074760001152753,11,15.487799644470217,0.0011889999732375,0.004929999820888,11,115000,0.999688982963562,15.418299674987791,0.0040779998525977,0.0138309998437762,6,15.39579963684082,15.426799774169922,15.477499961853027,0.0034930000547319,0.0101950000971555,7,15.41409969329834,0.0019900000188499,0.0052849999628961,7,115000,0.9992430210113524,15.360699653625488,0.0023600000422447,0.0171990003436803,6,15.324799537658691,15.366299629211426,15.39430046081543,0.0074089998379349,0.0089260004460811,6,15.35569953918457,0.0010999999940395,0.0025740000419318,6,115000,0.0306617006122356,1283546.0,0.039248522,0.944680501781806,166.5953378606908,-20.509570704729175,0.0020917154041011
750,PSO J320.9277+10.9144,-999,-999,-999,121093209276597829,3594779000021747,119361436144882,0,14092654048628,12109,1,1580,71,0.438855748101003,3594779,27791,3,503636096,7,60,320.92766455,10.91445723,0.0010000000474974,0.0010000000474974,320.9276754506214,10.914399970557191,0.0004900442290568,0.0004829929003124,5.846720421517868,3.5120422225455057,0.3780022078376673,0.366864760952898,56221.91282495727,134.07513427734375,0.7623076599069288,-0.618899468183104,0.1893422296527984,327.13423240910384,24.828411977329328,62.83581392027667,-26.90433509161664,-999,5,46,8,7,13,9,9,0.9996979832649232,18.06599998474121,0.0079509997740387,0.0233280006796121,7,18.03420066833496,18.10770034790039,18.193300247192383,0.0050570000894367,0.0146230002865195,8,18.069900512695312,0.0084140002727508,0.0231010001152753,8,115000,0.999110996723175,17.149499893188477,0.0035939998924732,0.0100899999961256,4,17.143800735473633,17.16080093383789,17.23419952392578,0.008275999687612,0.0235109999775886,7,17.13129997253418,0.0085589997470378,0.0191510003060102,7,115000,0.999305009841919,16.68120002746582,0.0138119999319314,0.0410480014979839,10,16.61210060119629,16.72960090637207,16.758699417114258,0.0078999996185302,0.0313390009105205,12,16.680700302124023,0.0094750002026557,0.0327770002186298,12,115000,0.9996179938316344,16.436899185180664,0.0031369999051094,0.0087719997391104,7,16.428600311279297,16.45039939880371,16.51729965209961,0.0073890001513063,0.029254000633955,8,16.438400268554688,0.0032289999071508,0.0150480000302195,8,115000,0.998885989189148,16.297199249267578,0.0069050001911818,0.0292920004576444,7,16.253700256347656,16.33340072631836,16.350500106811523,0.0093879997730255,0.1186320036649704,7,16.29509925842285,0.0111440001055598,0.139723002910614,7,115000,0.0301806526573237,1283548.0,0.109100714,0.8943373960659825,455.5442876398572,-21.217710362252063,0.0005370601572533
