objID,ra,dec
102210042497939447,4.24978644,-4.81747789
102210042500136468,4.25000758,-4.81997226
102210042505406652,4.25053574,-4.81980985
102210042506107565,4.25060433,-4.81905543
102210042517929615,4.25178817,-4.81733792
102210042518246484,4.25182571,-4.8199356
102210042518815516,4.25187446,-4.82075229
102210042533515157,4.25337082,-4.82110763
102210042534484624,4.25346067,-4.82141351
102210042537358643,4.25372725,-4.81813928
102210042538465392,4.25384038,-4.82084934
102210042540438852,4.25404474,-4.81796281
102210042551154385,4.2551439,-4.82174246
102230042652547219,4.26524765,-4.80266042
102230042653083160,4.26530194,-4.80604526
102230042653816442,4.26537457,-4.80331503
102230042656110793,4.26565726,-4.80789174
102230042658026231,4.26579569,-4.80348347
102230042664855112,4.26647871,-4.80441629
102230042668431300,4.26683074,-4.80759398
102230042668444741,4.26683306,-4.80472496
102230042670647610,4.26704914,-4.80234462
102230042678840584,4.26786042,-4.80819315
102230042680877016,4.26808897,-4.80282985
102230042684759189,4.26849928,-4.8010662
102230042687731371,4.26876575,-4.8075335
102230042690100691,4.26900163,-4.80810435
102230042692720836,4.26926036,-4.80797896
102230042698893901,4.26989058,-4.80542524
102230042700282844,4.27002344,-4.80630754
102230042707661019,4.27076687,-4.80786706
102230042709742402,4.27097532,-4.80667473
102230042714232047,4.27141039,-4.80697044
102230042717159727,4.27169752,-4.80056991
102230042721697956,4.27215127,-4.80204461
102230042724477904,4.27242773,-4.80209067
102230042727452531,4.27272947,-4.80657874
102230042728451831,4.27282146,-4.8071538
102230042732483957,4.27322722,-4.80537797
102230042734960034,4.27346561,-4.80873044
102230042736220435,4.27360201,-4.80830841
102230042736331909,4.27360893,-4.80708937
102230042746180659,4.27461899,-4.80812331
102230042747438896,4.27471715,-4.80126557
102230042747809371,4.27475448,-4.80086762
102230042750398056,4.2750128,-4.80196289
102230042756774901,4.27564992,-4.80459112
102230042759102429,4.2758815,-4.80665201
102230042761403263,4.27598348,-4.80590605
102230042763499611,4.27636618,-4.80072648
102230042772733324,4.27726394,-4.8059039
102230042773623656,4.2773489,-4.8056294
102230042773702261,4.27736059,-4.80678949
102230042780133790,4.27799695,-4.80552907
102230042790790452,4.2790666,-4.80830242
102230042805697850,4.28056127,-4.80213019
102230042806815084,4.28067156,-4.80443272
102230042808121567,4.28077758,-4.80740625
102230042808613768,4.28115378,-4.80552762
102230042812538157,4.28124278,-4.80188685
102230042813040590,4.28134134,-4.80841726
102230042813911387,4.28138119,-4.80751268
102230042815970058,4.28158778,-4.80862019
102230042821513863,4.28210697,-4.8054623
102230042822014768,4.28218416,-4.80471414
102230042824835841,4.28248678,-4.80380514
102230042826930741,4.28269397,-4.80805518
102230042829507586,4.28296062,-4.80241632
102230042838242809,4.28383488,-4.80639583
102230042838396536,4.28380677,-4.8032411
102230042841755343,4.28418139,-4.80427524
102230042845820485,4.28450672,-4.80832737
102230042847658692,4.28473209,-4.80144492
102230042851212199,4.2850811,-4.80688154
102230042851458740,4.28511316,-4.80140238
102230042859109353,4.28592203,-4.80094375
102230042860756965,4.28606508,-4.8028717
102230042861103314,4.28609224,-4.80592707
102230042862212814,4.28621346,-4.80633632
102230042864051342,4.28641526,-4.8076486
102230042869959189,4.28702036,-4.8010687
102230042872950156,4.28730035,-4.80862114
102230042882658911,4.28827147,-4.80131514
102230042883341340,4.28831806,-4.80757269
102230042883368363,4.28833617,-4.80170475
102230042884647848,4.28847126,-4.80219925
102230042886250686,4.28863983,-4.80816333
102230042887686834,4.28878321,-4.80303226
102230042895157735,4.28952982,-4.80228197
102230042909139002,4.29090912,-4.80118718
102230042924664978,4.292513597881563,-4.804540185729911
102230042927025231,4.29264363,-4.80443876
102230042927966426,4.29277186,-4.80332247
102230042932019310,4.293202496913631,-4.800995115025884
102230042933303586,4.29331944,-4.80568771
102230042939929237,4.29398115,-4.80098765
102230042950968009,4.29508477,-4.80201112
102240042316803432,4.23166484,-4.79743736
102240042319420971,4.23197716,-4.79959646
102240042320043409,4.23204263,-4.79755811
102240042323956751,4.23238674,-4.79471666
102240042334509862,4.23346084,-4.79213112
102240042339864555,4.23403075,-4.79660706
102240042343462019,4.23433805,-4.79865927
102240042346358615,4.23463851,-4.79316672
102240042346553720,4.23465631,-4.79724203
102240042351911215,4.23518345,-4.7993282
102240042353968561,4.23548798,-4.79329931
102240042354329950,4.23547172,-4.79209941
102240042357062914,4.235752721382304,-4.797926640809032
102240042357619399,4.23578802,-4.79256332
102240042357774191,4.23577491,-4.79691735
102240042357828575,4.235782458620931,-4.79322898138002
102240042358201089,4.2358425,-4.79948414
102240042359763405,4.2359674,-4.79750506
102240042366109328,4.23665409,-4.79263147
102240042367714210,4.23677165,-4.79683502
102260042714391082,4.27144839,-4.7827692
102260042719513593,4.27189602,-4.7806431
102260042721341397,4.27215512,-4.78257431
102260042723919496,4.27240259,-4.7756591
102260042725221776,4.27244905,-4.78213614
102260042725231290,4.27251566,-4.7826192
102260042729316469,4.27291195,-4.77829599
102260042731674716,4.27340599,-4.77993354
102260042736302969,4.27358021,-4.78115489
102260042742012626,4.27413798,-4.78151565
102260042742190722,4.27417579,-4.78302696
102260042746590942,4.2746746,-4.78294535
102260042747174920,4.2747357,-4.77963419
102260042747673055,4.27475841,-4.78114688
102260042753812171,4.27537247,-4.78188354
102260042756051118,4.27577136,-4.78276614
102260042758726163,4.275890562714386,-4.778527473403869
102260042760463253,4.27603731,-4.78096644
102260042767781252,4.276833266454562,-4.78271196372278
102260042768872544,4.2768774,-4.78156952
102260042777663087,4.277790647555446,-4.781149749253183
102260042780304041,4.27803686,-4.78038443
102260042786858119,4.27866412,-4.77691952
102260042794767977,4.27948968,-4.77710252
102260042800198127,4.28001313,-4.77689905
102260042800484516,4.28005848,-4.77990954
102260042804714666,4.28046952,-4.77978881
102260042805596240,4.28057854,-4.77854494
102260042814842924,4.28151435,-4.78122935
102260042846019847,4.28457833,-4.7755425
102260042848542659,4.28485271,-4.781475
102260042852403012,4.28525351,-4.78122537
102260042857810465,4.28578968,-4.78335638
102260042861395354,4.28613959,-4.77928546
102260042868044007,4.2867742,-4.78035413
102260042868780921,4.28685952,-4.78299929
102260042869046116,4.28691907,-4.77864731
102260042872840446,4.28729962,-4.78336898
102260042874016332,4.28740782,-4.77846139
102260042879525259,4.28794545,-4.77930017
102260042879940455,4.28799142,-4.78329524
102260042895712533,4.28955704,-4.78157439
102260042897683209,4.28977272,-4.78107968
102260042900823617,4.290140298766501,-4.7807021826665075
102260042901584059,4.29014195,-4.7803089
102260042915618201,4.29153602,-4.77684899
102260042917100264,4.29170308,-4.78346195
102260042922971729,4.29229217,-4.78223076
102260042932662598,4.29327777,-4.78158314
102260042934090524,4.29336913,-4.78326066
102260042935631432,4.29355611,-4.78249605
102260042941272198,4.29411711,-4.78186213
102260042942566815,4.294308565674,-4.778144103410665
102260042943222718,4.29428218,-4.78143277
102260042947902409,4.29473266,-4.78168207
102260042949516427,4.29494486,-4.77833355
102260042950341395,4.29499412,-4.78252963
102260042954052684,4.29555554,-4.78146389
102260042960242705,4.29603383,-4.78148815
102270042363151114,4.23631757,-4.77441846
102270042365493773,4.23653218,-4.77223951
