pair_id,matched_class,original_index,class,file,RA,Dec,match_sep_arcsec,match_ok,emax,inc,pa,sma_max,e_outer,sma_at_emax,pa_at_emax,paliya_catalog_index,x0,y0,paliya_SDSS_NAME,paliya_P-M-F,paliya_RA,paliya_DEC,paliya_Z,paliya_M_B,paliya_BR_H_ALPHA_EW,paliya_BR_H_ALPHA_EW_ERR,paliya_BR_H_ALPHA_FLUX,paliya_BR_H_ALPHA_FLUX_ERR,paliya_BR_H_ALPHA_FWHM,paliya_BR_H_ALPHA_FWHM_ERR,paliya_BR_H_ALPHA_LUM,paliya_BR_H_ALPHA_LUM_ERR,paliya_BR_H_ALPHA_SNR,paliya_BR_H_BETA_EW,paliya_BR_H_BETA_EW_ERR,paliya_BR_H_BETA_FLUX,paliya_BR_H_BETA_FLUX_ERR,paliya_BR_H_BETA_FWHM,paliya_BR_H_BETA_FWHM_ERR,paliya_BR_H_BETA_LUM,paliya_BR_H_BETA_LUM_ERR,paliya_BR_H_BETA_SNR,paliya_NA_H_ALPHA_EW,paliya_NA_H_ALPHA_EW_ERR,paliya_NA_H_ALPHA_FLUX,paliya_NA_H_ALPHA_FLUX_ERR,paliya_NA_H_ALPHA_FWHM,paliya_NA_H_ALPHA_FWHM_ERR,paliya_NA_H_ALPHA_LUM,paliya_NA_H_ALPHA_LUM_ERR,paliya_NA_H_ALPHA_SNR,paliya_NA_H_BETA_EW,paliya_NA_H_BETA_EW_ERR,paliya_NA_H_BETA_FLUX,paliya_NA_H_BETA_FLUX_ERR,paliya_NA_H_BETA_FWHM,paliya_NA_H_BETA_FWHM_ERR,paliya_NA_H_BETA_LUM,paliya_NA_H_BETA_LUM_ERR,paliya_NA_H_BETA_SNR,paliya_NA_OIII_4960_EW,paliya_NA_OIII_4960_EW_ERR,paliya_NA_OIII_4960_FLUX,paliya_NA_OIII_4960_FLUX_ERR,paliya_NA_OIII_4960_FWHM,paliya_NA_OIII_4960_FWHM_ERR,paliya_NA_OIII_4960_LUM,paliya_NA_OIII_4960_LUM_ERR,paliya_NA_OIII_4960_SNR,paliya_NA_OIII_5007_EW,paliya_NA_OIII_5007_EW_ERR,paliya_NA_OIII_5007_FLUX,paliya_NA_OIII_5007_FLUX_ERR,paliya_NA_OIII_5007_FWHM,paliya_NA_OIII_5007_FWHM_ERR,paliya_NA_OIII_5007_LUM,paliya_NA_OIII_5007_LUM_ERR,paliya_NA_OIII_5007_SNR,paliya_NA_NII_6549_EW,paliya_NA_NII_6549_EW_ERR,paliya_NA_NII_6549_FLUX,paliya_NA_NII_6549_FLUX_ERR,paliya_NA_NII_6549_FWHM,paliya_NA_NII_6549_FWHM_ERR,paliya_NA_NII_6549_LUM,paliya_NA_NII_6549_LUM_ERR,paliya_NA_NII_6549_SNR,paliya_NA_NII_6585_EW,paliya_NA_NII_6585_EW_ERR,paliya_NA_NII_6585_FLUX,paliya_NA_NII_6585_FLUX_ERR,paliya_NA_NII_6585_FWHM,paliya_NA_NII_6585_FWHM_ERR,paliya_NA_NII_6585_LUM,paliya_NA_NII_6585_LUM_ERR,paliya_NA_NII_6585_SNR,paliya_NA_SII_6718_EW,paliya_NA_SII_6718_EW_ERR,paliya_NA_SII_6718_FLUX,paliya_NA_SII_6718_FLUX_ERR,paliya_NA_SII_6718_FWHM,paliya_NA_SII_6718_FWHM_ERR,paliya_NA_SII_6718_LUM,paliya_NA_SII_6718_LUM_ERR,paliya_NA_SII_6718_SNR,paliya_NA_SII_6732_EW,paliya_NA_SII_6732_EW_ERR,paliya_NA_SII_6732_FLUX,paliya_NA_SII_6732_FLUX_ERR,paliya_NA_SII_6732_FWHM,paliya_NA_SII_6732_FWHM_ERR,paliya_NA_SII_6732_LUM,paliya_NA_SII_6732_LUM_ERR,paliya_NA_SII_6732_SNR,paliya_L_CONT_AGN_5100,paliya_L_CONT_AGN_5100_ERR,paliya_R4570,paliya_M_BH,paliya_M_BH_ERR,paliya_L_BOL,paliya_L_BOL_ERR,paliya_R_EDD,paliya_R_EDD_ERR,paliya_RL,ps1_objID,ps1_raMean,ps1_decMean,ps1_gKronFlux,ps1_gKronFluxErr,ps1_rKronFlux,ps1_rKronFluxErr,ps1_rKronRad,ps1_iKronFlux,ps1_iKronFluxErr,ps1_zKronFlux,ps1_zKronFluxErr,ps1_yKronFlux,ps1_yKronFluxErr,ps1_ng,ps1_ni,ps1_nr,ps1_ny,ps1_nz,ps1_rpsfMajorFWHM,ps1_rpsfMinorFWHM,ps1_rFWHM_eff,ps1_match_sep_arcsec,ps1_n_candidates,ps1_query_ok,ps1_status,ps1_error,R_gal_arcsec,a_bar_arcsec_assumed,L_bar_arcsec_assumed,N_FWHM_ps1,ps1_resolved,ps1_resolved_status
0,barred,0,barred,z_0.05_masked/t112.7786+39.4457.r_ellipse.txt,112.7786,39.4457,0.0280915651398151,True,0.55,29.96530791882775,0.166588766666667,55.6,0.12,21.44,-59.98,4026,242.61,242.79,073106.85+392644.5,spec-3657-55244-0896,112.7786,39.44571,0.04830622,-20.81294,199.7486,6.036482,-13.61519,0.004711202,810.4506,13.252,41.14621,0.004711202,83.87769,50.25382,1.554106,-14.19668,0.008417541,917.8622,20.10921,40.56472,0.008417541,30.07499,1.036034,0.7039415,-15.91263,0.3145916,327.2758,12.45714,38.84877,0.3145916,1.49192,0.4894687,0.2747984,-16.23267,0.2534128,317.1721,7.766158,38.52873,0.2534128,1.166872,8.246373,0.2977688,-14.97291,0.01576486,318.7244,6.969175,39.78849,0.01576486,20.55846,25.48178,0.9278053,-14.49451,0.01576538,316.228,7.921842,40.26689,0.01576538,62.34534,4.816863,0.2291199,-15.24413,0.02026977,325.3919,12.52119,39.51727,0.02026977,7.132341,13.49698,0.6455063,-14.77486,0.0202529,325.6421,12.11343,39.98655,0.0202529,20.82932,3.683034,0.2482437,-15.34877,0.02896683,325.1404,12.27188,39.41264,0.02896683,5.499727,4.259443,0.2359383,-15.28688,0.02337646,326.92,11.76582,39.47452,0.02337646,6.215086,42.34645,0.03589449,0.801028,5.716663,0.02496063,43.31306,0.03589449,-0.5434802,0.04372011,-999.0,155331127786325505,112.7785948338516,39.44571062709539,0.0010911399731412,3.32876993525133e-06,0.0020180500578135,4.636389803636121e-06,17.124300003051758,0.0029183400329202,3.973740149376681e-06,0.0034233899787068,1.0380300409451593e-05,0.003865780076012,2.060209953924641e-05,12,26,14,16,11,1.0652999877929688,1.0006500482559204,1.0324691202123508,0.0408644850238637,1,True,ok,,14.344800000000001,5.0206800000000005,10.041360000000001,9.725579006115714,True,resolved
1,barred,1,barred,z_0.10_masked/t114.3095+29.4428.r_ellipse.txt,114.3095,29.4428,0.147388278874311,True,0.41,38.89684669704688,-61.96638033333334,41.77,0.16,13.31,3.0,4111,242.95,245.9,073714.28+292634.2,spec-0754-52232-0134,114.3095,29.44284,0.07964247,-20.81713,76.67406,1.615089,-13.7334,0.006201623,1241.428,22.16204,41.49419,0.006201623,45.35715,14.42813,1.23944,-14.47768,0.03021287,1035.631,66.63999,40.74991,0.03021287,9.54238,7.457374,0.4972477,-14.78484,0.0245782,265.6245,6.593622,40.44275,0.0245782,27.09399,0.2800622,0.09594574,-16.22624,0.144685,68.96649,0.000367155,39.00136,0.144685,3.456161,3.045301,0.06202275,-15.11891,0.008935596,377.9269,8.68634,40.10868,0.008935596,8.554526,9.647984,0.1995106,-14.64053,0.00893595,382.0634,9.07216,40.58706,0.00893595,25.20711,1.924343,0.05990061,-15.32012,0.01372521,264.2326,7.116979,39.90747,0.01372521,7.957786,5.611244,0.1724465,-14.85102,0.01372677,255.4877,6.906704,40.37658,0.01372677,23.97379,1.990351,0.1192886,-15.30815,0.02562622,255.9801,7.117991,39.91944,0.02562622,8.195357,1.978878,0.1131129,-15.30367,0.02444982,257.7477,7.209096,39.92393,0.02444982,8.218616,42.73951,0.1010194,0.9568785,5.943847,0.07204397,43.70612,0.1010194,-0.3776053,0.1240776,-999.0,143331143095732262,114.3095239744646,29.442814064670536,0.0005813789903186,3.1449299058294855e-06,0.000936079013627,2.007870079978602e-06,8.27157974243164,0.0013965199468657,4.380749942356488e-06,0.0015814000507816,8.603939932072535e-06,0.0018739600200206,1.0390600436949173e-05,5,6,15,19,6,1.2416599988937378,1.1932799816131592,1.217229649922197,0.0906249091052997,1,True,ok,,10.776660000000001,3.771831,7.543662,6.197402437972306,True,resolved
2,barred,2,barred,z_0.05_masked/t118.8554+39.1861.r_ellipse.txt,118.8554,39.1861,0.0397175441119333,True,0.51,51.01748025460672,-3.7513166666666673,81.4,0.29,28.53,5.79,4482,241.62,241.15,075525.29+391109.9,spec-0544-52201-0344,118.8554,39.18609,0.03316471,-20.7748,106.4575,2.460217,-12.8642,0.004245871,1187.968,10.75694,41.55444,0.004245871,91.77991,31.80335,1.189514,-13.28024,0.01146597,1399.91,31.16755,41.13839,0.01146597,23.2795,6.613164,0.3665204,-14.10407,0.0201065,206.749,3.610533,40.31456,0.0201065,44.13805,1.48251,0.1455188,-14.65356,0.04037518,193.3623,4.121803,39.76508,0.04037518,10.35426,4.226726,0.1883225,-14.14619,0.01934263,193.3976,4.404507,40.27244,0.01934263,32.18775,13.28477,0.5971092,-13.66782,0.01934254,193.9563,4.025208,40.75081,0.01934254,95.16084,1.96655,0.05036215,-14.58824,0.01007329,205.803,3.470197,39.83039,0.01007329,14.67833,5.717768,0.1377571,-14.11898,0.01007237,211.6084,4.231594,40.29965,0.01007237,40.33324,1.887772,0.07695184,-14.61518,0.01743758,208.1269,3.736491,39.80346,0.01743758,13.08426,1.715602,0.07665425,-14.65173,0.0193183,211.0993,4.22743,39.76691,0.0193183,11.63079,43.01557,0.04305169,0.8193282,6.378008,0.02737317,43.98218,0.04305169,-0.535704,0.05101704,-999.0,155021188553823972,118.85539235046788,39.18608136652178,0.0029124000575393,3.6116200590186054e-06,0.005493720062077,9.98286031972384e-06,17.88610076904297,0.0066890101879835,3.865779945044778e-06,0.0075194197706878,1.1536700185388328e-05,0.0086491201072931,2.4054899768088944e-05,10,30,11,12,9,1.1907700300216677,1.1590499877929688,1.1748029574191778,0.0703946072866581,3,True,ok,,21.0012,7.35042,14.70084,12.513451644942224,True,resolved
3,barred,4,barred,z_0.05_masked/t123.3501+54.3769.r_ellipse.txt,123.3501,54.3769,0.0659216634474229,True,0.46,47.85401423318881,-38.0658,50.54,0.31,17.72,7.64,4952,242.21,242.19,081324.01+542236.7,spec-1871-53384-0066,123.3501,54.37688,0.04264095,-20.58431,188.3279,2.499475,-13.14836,0.0030991,1283.881,11.21509,41.49868,0.0030991,97.26219,55.21227,0.6933903,-13.70715,0.004675829,1561.83,24.92977,40.93988,0.004675829,27.13172,9.389548,0.6901671,-14.49089,0.03027487,325.1584,9.586734,40.15615,0.03027487,25.1921,1.460609,0.2006109,-15.31519,0.05911282,261.4713,11.61444,39.33184,0.05911282,5.810915,1.407042,0.08563051,-15.29538,0.02662802,258.8275,12.26319,39.35166,0.02662802,6.059683,4.350963,0.2648464,-14.81707,0.02664454,264.9354,11.20731,39.82996,0.02664454,17.65299,3.144241,0.1228545,-14.91393,0.01691126,325.612,9.693594,39.7331,0.01691126,9.466883,9.177953,0.3558106,-14.44472,0.01691126,326.8187,9.62175,40.20232,0.01691126,27.49258,2.612366,0.1306228,-15.00397,0.02130662,328.2614,9.146494,39.64306,0.02130662,7.375066,2.149146,0.123167,-15.081,0.02448688,325.6762,9.76259,39.56603,0.02448688,6.251641,42.63712,0.01697858,0.7012874,6.344086,0.01583018,43.60373,0.01697858,-0.8802343,0.02321351,-999.0,173251233500452948,123.35002675347438,54.37686282209714,0.0013210800243541,3.005739927175455e-06,0.0024465499445796,4.380950031190878e-06,11.85610008239746,0.0033096401020884,3.6852700304734753e-06,0.0041204402223229,7.2285201895283535e-06,0.0048755998723208,1.9833099941024557e-05,8,18,8,11,17,1.1439199447631836,1.114959955215454,1.129347125724958,0.2037194938183247,1,True,ok,,13.03932,4.563762,9.127524,8.082124434629254,True,resolved
4,barred,5,barred,z_0.10_masked/t123.4412+38.1805.r_ellipse.txt,123.4412,38.1805,0.106510973412544,True,0.39,23.911288136746816,-1.791976666666668,34.52,0.08,12.1,-55.69,4968,240.66,242.2,081345.89+381049.6,spec-0759-52254-0070,123.4412,38.18047,0.07999269,-20.81093,99.11951,2.043179,-13.72948,0.006671078,1793.007,31.82654,41.50227,0.006671078,29.13783,22.23034,1.406929,-14.38171,0.02305266,1117.224,71.22642,40.85004,0.02305266,9.513502,20.41866,0.591857,-14.44418,0.009178353,227.8204,3.088985,40.78757,0.009178353,62.44939,0.8945349,0.1118676,-15.8254,0.04987777,68.93076,0.0,39.40636,0.04987777,8.50647,6.697391,0.1026104,-14.88486,0.005916326,263.3102,3.393336,40.34689,0.005916326,18.04103,21.05335,0.3361691,-14.40641,0.005914698,255.2152,3.793827,40.82535,0.005914698,55.53376,5.023103,0.09470136,-15.00899,0.008010547,223.8122,2.815299,40.22276,0.008010547,17.50167,15.14697,0.298356,-14.53991,0.008010624,227.349,2.957168,40.69184,0.008010624,50.10965,3.976285,0.1645723,-15.11172,0.0174101,224.3356,2.804051,40.12004,0.0174101,13.43117,3.707292,0.1560349,-15.14039,0.01774764,233.0824,3.282171,40.09137,0.01774764,11.97067,42.76294,0.07370512,0.2545711,6.266068,0.06454828,43.72955,0.07370512,-0.6763969,0.09797411,-999.0,153811234412627212,123.44125210616342,38.18047616672648,0.0005744320224039,1.551880018269003e-06,0.0009860070422291,2.3043699002300855e-06,8.694589614868164,0.0013669000472873,1.8065700260194717e-06,0.0016203699633479,6.0926599871891085e-06,0.0018741199746727,3.014839967363514e-05,12,33,12,3,9,1.1730999946594238,1.1157699823379517,1.1440759416759871,0.1705982693799757,2,True,ok,,8.906160000000002,3.1171560000000005,6.234312000000001,5.449211693820947,True,resolved
5,barred,6,barred,z_0.10_masked/t123.7908+3.4649.r_ellipse.txt,123.7908,3.4649,0.0223532510489182,True,0.49,56.759541989341216,31.851776666666662,55.6,0.33,28.53,23.35,5008,242.46,240.15,081509.80+032753.6,spec-1184-52641-0082,123.7908,3.464906,0.05104269,-21.16493,59.96603,1.099797,-13.55973,0.006235603,1901.163,32.89334,41.25226,0.006235603,30.44832,11.39137,0.5702192,-14.29486,0.02179394,591.9014,74.81548,40.51713,0.02179394,14.85476,18.6368,0.4565027,-14.12174,0.005909635,226.6321,2.230275,40.69025,0.005909635,99.35187,0.8001593,0.2021811,-15.47985,0.10738,115.2565,13.74778,39.33215,0.10738,8.090228,3.291372,0.06109876,-14.81507,0.008096634,326.376,6.333479,39.99692,0.008096634,11.62649,10.45945,0.2003964,-14.33666,0.008097028,324.0852,6.400602,40.47533,0.008097028,35.14298,2.925556,0.04592308,-14.86335,0.006628424,232.0288,2.708055,39.94864,0.006628424,17.50965,8.517435,0.132231,-14.39415,0.006626832,227.5998,2.250041,40.41784,0.006626832,52.51385,2.586433,0.08672073,-14.92651,0.0142518,231.9182,2.656985,39.88548,0.0142518,14.76363,1.840919,0.08072447,-15.06339,0.01880354,225.9718,2.17803,39.7486,0.01880354,11.12352,42.66298,0.03420581,0.4809112,5.590085,0.1108622,43.62959,0.03420581,-0.1003743,0.1160192,-999.0,112151237908508350,123.79084672343792,3.464893793491104,0.0017978999530896,2.5226399884559214e-06,0.0032219900749623,3.1570400551572675e-06,13.367300033569336,0.0040998398326337,3.569349928511656e-06,0.0050001600757241,7.258669938892126e-06,0.0060211201198399,1.86000997928204e-05,13,16,18,14,13,1.288249969482422,1.2652499675750732,1.2766981758098597,0.169377089279496,1,True,ok,,14.344800000000001,5.0206800000000005,10.041360000000001,7.865100922252335,True,resolved
6,barred,7,barred,z_0.05_masked/t123.8203+46.0752.r_ellipse.txt,123.8203,46.0752,0.1705061851870752,True,0.62,15.0,40.839605,81.4,0.52,37.97,52.36,5009,242.87,240.5,081516.86+460430.8,spec-6391-56329-0988,123.8203,46.07525,0.041,-19.94541,125.1272,3.262178,-13.07195,0.007875875,1097.026,22.50769,41.5393,0.007875875,53.50042,29.88152,0.5311664,-13.64446,0.006558971,1393.293,42.25203,40.96679,0.006558971,24.53251,31.94666,1.099745,-13.6726,0.01232227,334.8399,4.315174,40.93864,0.01232227,62.63609,6.53929,0.2697058,-14.31557,0.01680215,325.1544,6.521168,40.29567,0.01680215,32.38386,3.742603,0.1106408,-14.55118,0.0129401,323.2183,6.849409,40.06007,0.0129401,18.78608,11.46719,0.3394027,-14.07283,0.01294378,324.3401,6.990487,40.53841,0.01294378,55.44458,14.18334,0.3094123,-14.01714,0.007229199,332.4107,4.328598,40.5941,0.007229199,28.90141,41.72399,0.8116615,-13.54799,0.007230933,332.1381,4.141791,41.06326,0.007230933,84.9375,6.773327,0.2181927,-14.34315,0.01332829,331.7583,4.14998,40.2681,0.01332829,13.40776,6.928331,0.2160138,-14.33342,0.01305659,332.9471,4.178142,40.27782,0.01305659,13.52189,43.10539,0.01013184,1.146313,6.299865,0.02673191,44.072,0.01013184,-0.3677446,0.02858757,0.7272907,163291238202750968,123.82028965255384,46.075252593574774,0.0035595700610429,3.745640015040408e-06,0.006196079775691,5.408359811553964e-06,17.084299087524414,0.008365879766643,5.1273300414322875e-06,0.0097961695864796,1.2018400411761831e-05,0.0110315000638365,2.4271699658129364e-05,12,26,12,12,16,1.2261300086975098,1.196239948272705,1.2110927702616017,0.1910921949425469,1,True,ok,,21.0012,7.35042,14.70084,12.138492080028312,True,resolved
7,barred,8,barred,z_0.10_masked/t125.1684+15.2025.r_ellipse.txt,125.1684,15.2025,0.1095009043455825,True,0.59,58.64334490699093,-54.79366166666666,50.54,0.44,19.49,-65.45,5168,240.33,241.57,082040.41+151208.8,spec-2272-53713-0221,125.1684,15.20247,0.07090219,-21.02048,46.57828,1.303431,-13.85759,0.0105566,1174.566,44.1169,41.26023,0.0105566,28.84929,15.93902,0.5517253,-14.38651,0.01364994,1200.658,69.80168,40.73132,0.01364994,10.89998,8.16339,0.6875778,-14.63907,0.03504355,378.1325,7.394167,40.47875,0.03504355,21.3272,0.9167324,0.2633537,-15.66146,0.1217451,297.7079,12.47,39.45636,0.1217451,3.397277,1.681262,0.1105341,-15.34736,0.02874369,296.4192,12.64881,39.77046,0.02874369,6.839451,5.352192,0.3528603,-14.86898,0.02874409,300.4956,11.62607,40.24884,0.02874409,19.98922,3.659077,0.0895005,-14.95238,0.01074002,380.9207,7.721911,40.16544,0.01074002,10.2947,10.65747,0.2580076,-14.48318,0.01074097,379.832,7.899862,40.63464,0.01074097,30.23945,2.11235,0.1279432,-15.19291,0.02605332,383.2736,8.049571,39.92491,0.02605332,5.729345,1.431064,0.132882,-15.35552,0.03992601,378.331,7.496843,39.7623,0.03992601,3.993103,42.65444,0.03977446,0.4396913,6.21501,0.0535747,43.62105,0.03977446,-0.7338366,0.06672523,-999.0,126241251684033311,125.16838968776202,15.202451783403257,0.001048790058121,2.9560899292846443e-06,0.0018386800074949,2.68360008703894e-06,12.152000427246094,0.0026769400574266,3.0189899007382337e-06,0.0033114899415522,7.772599929012358e-06,0.0040649701841175,1.8992399418493733e-05,12,18,14,10,18,1.2284899950027466,1.120609998703003,1.1733107737111597,0.1772381249568262,4,True,ok,,13.03932,4.563762,9.127524,7.779289344740111,True,resolved
8,barred,10,barred,z_0.10_masked/t130.5580+18.7282.r_ellipse.txt,130.558,18.7282,0.0052785124249535,True,0.43,42.625403525326206,-2.00361425,28.53,0.23,12.1,16.83,5767,242.0,241.36,084213.92+184341.5,spec-2277-53705-0047,130.558,18.7282,0.09599724,-19.80067,70.46455,2.268061,-14.3404,0.01195423,1713.881,65.8777,41.0657,0.01195423,11.71351,23.09663,2.300362,-14.85315,0.0409715,1776.663,243.8721,40.55295,0.0409715,3.36457,6.953857,0.5866185,-15.418,0.03303226,204.9328,9.463609,39.9881,0.03303226,11.81108,1.198964,0.4396506,-16.17534,0.1499356,219.8931,8.253988,39.23076,0.1499356,1.900841,4.661868,0.4126049,-15.53227,0.03744857,220.3897,7.969546,39.87383,0.03744857,7.977792,14.66599,1.299588,-15.05386,0.03745491,224.9515,9.895741,40.35224,0.03745491,23.09632,1.30753,0.0922983,-16.06004,0.03061904,204.6929,9.392199,39.34606,0.03061904,2.712946,3.826045,0.2704233,-15.59097,0.030627,209.736,11.12359,39.81513,0.030627,7.508132,2.113342,0.2738399,-15.87376,0.05584592,207.9425,10.50199,39.53234,0.05584592,3.888793,1.341288,0.220134,-16.05694,0.07059877,207.918,10.50416,39.34916,0.07059877,2.552299,42.32381,0.1460623,1.30622,6.103313,0.1361435,43.29042,0.1460623,-0.9527702,0.1996728,-999.0,130471305580114395,130.55800112659523,18.728193782261013,0.0001608460006536,1.6601600236754166e-06,0.0002725920057855,1.4721000525241834e-06,7.167669773101807,0.0003759879909921,1.785860035852238e-06,0.0004392899863887,3.460249899944756e-06,0.0004903720109723,7.673529580642935e-06,10,16,15,17,19,1.2535899877548218,1.243980050086975,1.2487757748113846,0.022711021399561,1,True,ok,,7.360740000000001,2.5762590000000003,5.152518000000001,4.12605537673746,True,resolved
9,barred,11,barred,z_0.10_masked/t142.0644+12.8635.r_ellipse.txt,142.0644,12.8635,0.1121827237928768,True,0.51,29.545058721116614,-4.2922766666666625,37.97,0.12,11.0,14.21,7239,241.86,241.08,092815.45+125148.6,spec-2578-54093-0172,142.0644,12.86353,0.09466084,-21.28328,61.29739,1.844351,-14.06023,0.009133341,1251.185,31.00216,41.33234,0.009133341,23.44517,15.72861,1.207726,-14.59183,0.02964444,1507.607,104.2904,40.80075,0.02964444,6.226195,8.969512,0.5944725,-14.93946,0.02184656,259.2358,7.035366,40.45312,0.02184656,21.51884,2.039535,0.2696308,-15.51935,0.05202271,241.9972,14.10401,39.87323,0.05202271,6.671597,1.484607,0.1798585,-15.61183,0.05324486,243.1731,14.72366,39.78074,0.05324486,5.235815,4.603566,0.5675988,-15.13336,0.05323653,249.9745,14.8247,40.25921,0.05323653,15.20082,2.063845,0.07547987,-15.51584,0.01527158,264.8644,6.684237,39.87673,0.01527158,5.596844,6.044279,0.2154958,-15.04668,0.01527367,253.174,6.932815,40.34589,0.01527367,17.0951,2.813725,0.1800723,-15.38904,0.02714187,256.0328,7.500002,40.00353,0.02714187,7.52796,2.139389,0.235781,-15.50146,0.0474266,253.2013,6.850933,39.89112,0.0474266,5.84183,43.002,0.04705426,1.092435,6.340688,0.06370743,43.96861,0.04705426,-0.5119575,0.07920063,-999.0,123431420644076772,142.06439909746973,12.863514468407626,0.0005972809740342,2.088859901050455e-06,0.0008885390125215,1.938130026246654e-06,9.48628044128418,0.0011916300281882,2.939420028269524e-06,0.0012843899894505,5.780369974672794e-06,0.0015353700146079,1.203400006488664e-05,12,18,17,10,12,0.9788730144500732,0.9341430068016052,0.9562465063964116,0.0521824945344518,1,True,ok,,9.79626,3.4286909999999997,6.857381999999999,7.171144630731099,True,resolved
