pair_id,matched_class,original_index,class,file,RA,Dec,match_sep_arcsec,match_ok,emax,inc,pa,sma_max,e_outer,sma_at_emax,pa_at_emax,paliya_catalog_index,x0,y0,paliya_SDSS_NAME,paliya_P-M-F,paliya_RA,paliya_DEC,paliya_Z,paliya_M_B,paliya_BR_H_ALPHA_EW,paliya_BR_H_ALPHA_EW_ERR,paliya_BR_H_ALPHA_FLUX,paliya_BR_H_ALPHA_FLUX_ERR,paliya_BR_H_ALPHA_FWHM,paliya_BR_H_ALPHA_FWHM_ERR,paliya_BR_H_ALPHA_LUM,paliya_BR_H_ALPHA_LUM_ERR,paliya_BR_H_ALPHA_SNR,paliya_BR_H_BETA_EW,paliya_BR_H_BETA_EW_ERR,paliya_BR_H_BETA_FLUX,paliya_BR_H_BETA_FLUX_ERR,paliya_BR_H_BETA_FWHM,paliya_BR_H_BETA_FWHM_ERR,paliya_BR_H_BETA_LUM,paliya_BR_H_BETA_LUM_ERR,paliya_BR_H_BETA_SNR,paliya_NA_H_ALPHA_EW,paliya_NA_H_ALPHA_EW_ERR,paliya_NA_H_ALPHA_FLUX,paliya_NA_H_ALPHA_FLUX_ERR,paliya_NA_H_ALPHA_FWHM,paliya_NA_H_ALPHA_FWHM_ERR,paliya_NA_H_ALPHA_LUM,paliya_NA_H_ALPHA_LUM_ERR,paliya_NA_H_ALPHA_SNR,paliya_NA_H_BETA_EW,paliya_NA_H_BETA_EW_ERR,paliya_NA_H_BETA_FLUX,paliya_NA_H_BETA_FLUX_ERR,paliya_NA_H_BETA_FWHM,paliya_NA_H_BETA_FWHM_ERR,paliya_NA_H_BETA_LUM,paliya_NA_H_BETA_LUM_ERR,paliya_NA_H_BETA_SNR,paliya_NA_OIII_4960_EW,paliya_NA_OIII_4960_EW_ERR,paliya_NA_OIII_4960_FLUX,paliya_NA_OIII_4960_FLUX_ERR,paliya_NA_OIII_4960_FWHM,paliya_NA_OIII_4960_FWHM_ERR,paliya_NA_OIII_4960_LUM,paliya_NA_OIII_4960_LUM_ERR,paliya_NA_OIII_4960_SNR,paliya_NA_OIII_5007_EW,paliya_NA_OIII_5007_EW_ERR,paliya_NA_OIII_5007_FLUX,paliya_NA_OIII_5007_FLUX_ERR,paliya_NA_OIII_5007_FWHM,paliya_NA_OIII_5007_FWHM_ERR,paliya_NA_OIII_5007_LUM,paliya_NA_OIII_5007_LUM_ERR,paliya_NA_OIII_5007_SNR,paliya_NA_NII_6549_EW,paliya_NA_NII_6549_EW_ERR,paliya_NA_NII_6549_FLUX,paliya_NA_NII_6549_FLUX_ERR,paliya_NA_NII_6549_FWHM,paliya_NA_NII_6549_FWHM_ERR,paliya_NA_NII_6549_LUM,paliya_NA_NII_6549_LUM_ERR,paliya_NA_NII_6549_SNR,paliya_NA_NII_6585_EW,paliya_NA_NII_6585_EW_ERR,paliya_NA_NII_6585_FLUX,paliya_NA_NII_6585_FLUX_ERR,paliya_NA_NII_6585_FWHM,paliya_NA_NII_6585_FWHM_ERR,paliya_NA_NII_6585_LUM,paliya_NA_NII_6585_LUM_ERR,paliya_NA_NII_6585_SNR,paliya_NA_SII_6718_EW,paliya_NA_SII_6718_EW_ERR,paliya_NA_SII_6718_FLUX,paliya_NA_SII_6718_FLUX_ERR,paliya_NA_SII_6718_FWHM,paliya_NA_SII_6718_FWHM_ERR,paliya_NA_SII_6718_LUM,paliya_NA_SII_6718_LUM_ERR,paliya_NA_SII_6718_SNR,paliya_NA_SII_6732_EW,paliya_NA_SII_6732_EW_ERR,paliya_NA_SII_6732_FLUX,paliya_NA_SII_6732_FLUX_ERR,paliya_NA_SII_6732_FWHM,paliya_NA_SII_6732_FWHM_ERR,paliya_NA_SII_6732_LUM,paliya_NA_SII_6732_LUM_ERR,paliya_NA_SII_6732_SNR,paliya_L_CONT_AGN_5100,paliya_L_CONT_AGN_5100_ERR,paliya_R4570,paliya_M_BH,paliya_M_BH_ERR,paliya_L_BOL,paliya_L_BOL_ERR,paliya_R_EDD,paliya_R_EDD_ERR,paliya_RL,ps1_objID,ps1_raMean,ps1_decMean,ps1_gKronFlux,ps1_gKronFluxErr,ps1_rKronFlux,ps1_rKronFluxErr,ps1_rKronRad,ps1_iKronFlux,ps1_iKronFluxErr,ps1_zKronFlux,ps1_zKronFluxErr,ps1_yKronFlux,ps1_yKronFluxErr,ps1_ng,ps1_ni,ps1_nr,ps1_ny,ps1_nz,ps1_rpsfMajorFWHM,ps1_rpsfMinorFWHM,ps1_rFWHM_eff,ps1_match_sep_arcsec,ps1_n_candidates,ps1_query_ok,ps1_status,ps1_error,R_gal_arcsec,a_bar_arcsec_assumed,L_bar_arcsec_assumed,N_FWHM_ps1,ps1_resolved,ps1_resolved_status
0,unbarred,140,unbarred,z_0.05_masked/t246.0391+26.0752.r_ellipse.txt,246.0391,26.0752,0.1890483692499549,True,0.15,27.929990318570407,-84.58936,41.77,0.11,13.31,66.42,19027,241.87,241.18,162409.37+260430.9,spec-1575-53493-0640,246.0391,26.07525,0.0392371,-20.88306,182.5803,2.392428,-12.75383,0.002801344,1332.164,14.29604,41.81745,0.002801344,79.41116,46.07095,0.9650714,-13.31231,0.006849783,1707.906,35.51765,41.25898,0.006849783,22.39183,25.07912,1.054698,-13.62837,0.01317399,236.2543,3.368239,40.94291,0.01317399,85.76811,5.802148,0.255914,-14.24618,0.01571737,216.6561,3.90275,40.3251,0.01571737,29.60817,4.322492,0.1256564,-14.33834,0.01263141,211.9896,3.325349,40.23294,0.01263141,24.50871,13.38756,0.3871038,-13.85998,0.01262873,213.3645,3.624322,40.7113,0.01262873,72.09156,5.337389,0.1181005,-14.28375,0.009433438,236.093,3.342365,40.28753,0.009433438,19.00997,15.81319,0.3443542,-13.81462,0.009437395,248.1259,3.552231,40.75666,0.009437395,52.96533,5.033684,0.1521082,-14.3232,0.01278797,243.7484,3.72877,40.24809,0.01278797,16.39506,3.805552,0.132145,-14.44441,0.01478264,242.5633,3.924186,40.12687,0.01478264,12.43849,43.08195,0.0226177,0.5870152,6.661916,0.02073331,44.04856,0.0226177,-0.7532325,0.03068274,0.2886381,139292460390790859,246.03908701811343,26.075252540350967,0.002040039980784,2.1172299966565333e-06,0.003173140110448,2.973670007122564e-06,7.385479927062988,0.0038363300263881,3.3376300052623264e-06,0.0043675201013684,5.859219982085051e-06,0.005340619944036,1.3274900084070396e-05,12,13,8,12,11,1.0175100564956665,0.9703220129013062,0.9936359525330174,0.1937474765239414,1,True,ok,,10.776660000000001,3.771831,7.543662,7.591977706492392,True,resolved
1,unbarred,109,unbarred,z_0.10_masked/t214.4814+43.1989.r_ellipse.txt,214.4814,43.1989,0.14998806618534,True,0.3,38.42233736511759,37.64090166666666,25.94,0.2,11.0,31.18,15629,241.09,241.45,141755.54+431155.9,spec-1394-53108-0107,214.4814,43.19886,0.07890935,-20.34131,261.2487,2.788461,-13.11502,0.003657377,853.3592,13.48792,42.10383,0.003657377,139.3635,67.61346,0.9952433,-13.6094,0.005322197,967.5826,26.6895,41.60947,0.005322197,36.33995,9.087685,2.081391,-14.57471,0.09813015,327.0428,11.04476,40.64415,0.09813015,18.3401,3.750246,0.6792434,-14.86722,0.07773529,318.4313,9.849689,40.35163,0.07773529,8.976581,4.86389,0.1991406,-14.76063,0.01819397,319.0852,9.122868,40.45823,0.01819397,11.08138,14.83876,0.6125127,-14.28227,0.01819471,317.4737,10.11619,40.93658,0.01819471,33.49371,3.930922,0.1687921,-14.948,0.01822512,327.067,10.95792,40.27087,0.01822512,7.76684,11.20981,0.4646085,-14.47878,0.01823023,329.6884,10.65451,40.74009,0.01823023,22.29674,3.64118,0.2037157,-14.98656,0.02371984,328.8757,10.58913,40.23229,0.02371984,6.827246,3.373268,0.1915242,-15.02133,0.02411579,328.3041,11.1686,40.19752,0.02411579,6.304322,43.45139,0.009362398,0.9342917,6.213064,0.0243265,44.418,0.009362398,0.06505718,0.02606594,-999.0,159832144814889275,214.48144813901436,43.19886137400267,0.0004699460114352,1.2186000049041468e-06,0.0005783369997516,1.698290020613058e-06,4.775869846343994,0.0008268089732155,1.1111900448668166e-06,0.0008509019971825,2.8480999390012585e-06,0.0009343179990537,9.255680197384208e-06,10,25,10,8,11,1.068619966506958,1.0048799514770508,1.0362599963768355,0.1878720445760404,2,True,ok,,6.692520000000001,2.342382,4.684764,4.520838415436031,True,resolved
2,unbarred,138,unbarred,z_0.05_masked/t244.5391+36.3327.r_ellipse.txt,244.5391,36.3327,0.1058655261699167,True,0.32,48.87339068291278,52.07770333333334,34.52,0.31,17.72,54.29,18880,241.02,242.03,161809.37+361957.8,spec-1056-52764-0067,244.5391,36.33273,0.03376276,-19.62802,114.182,1.766241,-13.23899,0.003215865,660.792,11.25173,41.19585,0.003215865,116.6203,33.99686,1.662104,-13.74063,0.01229197,691.9122,21.08749,40.69421,0.01229197,31.77014,1.510954,0.6590592,-15.12612,0.1906264,206.2212,5.925477,39.30872,0.1906264,6.949487,0.8293262,0.3484417,-15.40486,0.1780677,214.1747,3.593874,39.02998,0.1780677,3.266876,4.134055,0.06216792,-14.60555,0.006256319,216.8329,3.317189,39.82929,0.006256319,19.71803,12.95926,0.2028923,-14.12714,0.006256457,212.4657,2.875761,40.3077,0.006256457,61.08919,2.089277,0.07115723,-14.98334,0.01347213,202.9179,5.220057,39.4515,0.01347213,10.10209,5.840172,0.1838569,-14.51418,0.01347033,203.3553,5.248937,39.92066,0.01347033,29.41098,1.171245,0.09535115,-15.2259,0.03519889,202.2351,5.013918,39.20895,0.03519889,5.699117,1.179545,0.08743118,-15.2229,0.03193852,205.3294,5.680221,39.21194,0.03193852,5.463387,42.36679,0.08688976,0.9376596,5.432542,0.04721877,43.3334,0.08688976,-0.2390191,0.09889106,-999.0,151592445390759873,244.53906065916243,36.33274212962494,0.0009039919823408,2.170730112993624e-06,0.001532890019007,2.116129962814739e-06,7.307380199432373,0.0019853198900818,2.170349944208283e-06,0.0023454099427908,4.498810085351579e-06,0.0027831299230456,1.1793799785664303e-05,7,28,13,11,11,0.9845029711723328,0.967831015586853,0.9761314001905652,0.1897895077968782,1,True,ok,,8.906160000000002,3.1171560000000005,6.234312000000001,6.386754896710532,True,resolved
3,unbarred,40,unbarred,z_0.05_masked/t156.3803+51.6763.r_ellipse.txt,156.3803,51.6763,0.1888403170132838,True,0.39,50.72593985048912,29.68778466666667,45.95,0.3,17.72,39.61,8939,241.53,240.41,102531.28+514034.8,spec-1008-52707-0558,156.3803,51.67635,0.04458556,-20.73737,211.7617,2.117759,-12.61539,0.002864362,1202.222,15.08487,42.07253,0.002864362,92.2444,59.73472,0.9731268,-13.01475,0.004832498,1398.565,20.23712,41.67316,0.004832498,32.50268,4.441213,0.8765984,-14.30396,0.08452314,268.4785,8.741156,40.38396,0.08452314,12.21034,0.1872649,0.1257155,-15.53049,0.323087,281.3604,14.51014,39.15742,0.323087,0.7143705,2.242864,0.1911933,-14.45388,0.03673381,280.9076,15.09124,40.23404,0.03673381,8.337848,6.941336,0.5916053,-13.97544,0.03671438,285.9397,13.95012,40.71248,0.03671438,24.3134,2.871291,0.1499387,-14.48658,0.02205609,272.6382,9.027716,40.20133,0.02205609,7.901722,8.290971,0.4200432,-14.01743,0.02205732,262.2732,9.802009,40.67049,0.02205732,23.94576,2.666661,0.1520466,-14.53061,0.02455966,265.3914,10.31131,40.1573,0.02455966,7.142467,2.13719,0.1390455,-14.62715,0.02791537,262.5968,9.406565,40.06076,0.02791537,5.735135,43.49063,0.01671125,0.7366331,6.619893,0.01464637,44.45724,0.01671125,-0.3025295,0.02222121,-0.6407823,170011563803372284,156.38031663905306,51.676353961646186,0.001892969943583,3.3325600270472933e-06,0.0026927900034934,2.6208699637209065e-06,7.299580097198486,0.0034342999570071,1.8867899598262736e-06,0.0036367899738252,5.751810022047721e-06,0.0039913798682391,1.1934699614357667e-05,7,41,15,15,13,1.0566500425338743,1.0206400156021118,1.038488958004728,0.1977812265816746,1,True,ok,,11.8551,4.149285,8.29857,7.991004561034743,True,resolved
4,unbarred,176,unbarred,new_sample_masked/t021.9831-10.6456.r_ellipse.txt,21.9831,-10.6456,0.1277847914067478,True,0.23,24.866051747137913,-72.839655,37.97,0.09,8.26,-37.94,2209,242.69,241.29,012755.93-103844.2,spec-0661-52163-0005,21.98308,-10.64563,0.08240458,-20.87843,59.35857,1.457243,-14.04333,0.00891678,2089.816,54.12363,41.21662,0.00891678,15.89672,16.73045,1.258029,-14.60361,0.03079725,1291.596,104.1237,40.65634,0.03079725,5.720992,9.606464,0.3916998,-14.89953,0.01274217,195.9031,4.24264,40.36042,0.01274217,33.81694,0.4965526,0.184825,-16.19032,0.1594013,73.66541,4.555994,39.06963,0.1594013,3.362826,2.113609,0.1010926,-15.46494,0.02056549,320.3391,15.1101,39.79501,0.02056549,4.534873,6.780908,0.3262496,-14.98658,0.02055767,318.657,15.34775,40.27337,0.02055767,13.68161,1.356791,0.05367082,-15.67497,0.01703356,195.5304,4.098597,39.58497,0.01703356,5.741545,3.962045,0.1553742,-15.20566,0.01704194,200.0195,4.418614,40.05429,0.01704194,15.56764,1.562022,0.1308514,-15.635,0.03607867,197.2124,4.538989,39.62495,0.03607867,5.907235,1.030092,0.1430878,-15.80154,0.05990849,198.3808,4.739977,39.4584,0.05990849,3.931201,41.82074,0.3506291,0.2115411,5.983112,0.1726228,42.78735,0.3506291,-1.33564,0.3908189,-999.0,95220219830435585,21.983074529013972,-10.645673433158024,0.0005502480198629,2.511189904907951e-06,0.0008368390263058,2.5002100301207975e-06,10.086400032043455,0.001152170007117,2.30644991461304e-06,0.0012313700281083,4.921710115013411e-06,0.001360040041618,1.151549986389e-05,9,35,15,11,14,1.1000399589538574,1.0738699436187744,1.0868761883030549,0.279297349963756,1,True,ok,,9.79626,3.4286909999999997,6.857381999999999,6.309257736804836,True,resolved
5,unbarred,7,unbarred,z_0.10_masked/t122.2947+11.1053.r_ellipse.txt,122.2947,11.1053,0.0720284264358325,True,0.41,53.393444635944505,86.19700999999999,28.53,0.39,25.94,86.62,4838,240.81,241.6,080910.72+110619.1,spec-2421-54153-0324,122.2947,11.10532,0.05273705,-19.29782,30.82648,0.9254003,-14.21366,0.01053465,1000.134,33.4993,40.62854,0.01053465,24.59223,7.773232,0.9862009,-14.84554,0.05160877,1126.246,138.981,39.99667,0.05160877,3.564471,11.36526,0.4837137,-14.68779,0.0147675,295.2176,4.011232,40.15442,0.0147675,40.26264,2.745034,0.3086895,-15.33615,0.04477624,283.1358,4.083371,39.50606,0.04477624,6.661046,5.595946,0.06985676,-14.97138,0.005205701,283.832,3.586851,39.87083,0.005205701,15.12376,17.45888,0.227961,-14.49299,0.005205595,280.3447,4.04162,40.34922,0.005205595,45.47832,3.141214,0.06202695,-15.18884,0.008632413,298.8467,4.01413,39.65337,0.008632413,12.51381,9.200625,0.1819343,-14.71964,0.008633246,291.5406,4.781763,40.12257,0.008633246,37.87067,4.160291,0.1194816,-15.08002,0.01229041,292.7888,4.331251,39.76219,0.01229041,16.10419,3.031213,0.1073983,-15.20752,0.01503931,291.6207,4.58757,39.63469,0.01503931,12.04182,42.44113,0.05328725,0.764391,5.949804,0.1098352,43.40774,0.05328725,-0.6819402,0.122079,-999.0,121321222946466839,122.29466472941456,11.105312041750029,0.0003333069907967,9.635349442760344e-07,0.0006069369846954,1.4700500514663872e-06,6.039010047912598,0.0008594120154157,1.4906099750078283e-06,0.0010502500226721,3.561189942047349e-06,0.0012785600265488,8.627030183561146e-06,15,18,15,17,15,1.237630009651184,1.228309988975525,1.232961193026944,0.131922459550119,1,True,ok,,7.360740000000001,2.5762590000000003,5.152518000000001,4.178978242900304,True,resolved
6,unbarred,188,unbarred,new_sample_masked/t232.4191+30.4859.r_ellipse.txt,232.4191,30.4859,0.1024247537015032,True,0.26,20.40328478714237,49.957188333333335,61.16,0.06,28.53,-80.93,17652,243.01,241.19,152940.58+302909.3,spec-1651-53442-0620,232.4191,30.48593,0.03571216,-20.81766,120.2945,1.355968,-12.76492,0.0024454,1515.331,9.91112,41.72077,0.0024454,111.2461,35.24448,0.6631979,-13.32041,0.006152539,2024.468,32.47686,41.16528,0.006152539,28.79987,10.17392,0.3742063,-13.87137,0.01192834,275.0367,3.75299,40.61431,0.01192834,68.22401,2.331853,0.1215301,-14.54885,0.01985678,263.2131,6.557259,39.93684,0.01985678,18.89454,2.363998,0.1283976,-14.48598,0.02357466,256.0923,6.189456,39.99971,0.02357466,21.87203,7.332802,0.3998463,-14.00755,0.02357384,260.329,7.321721,40.47813,0.02357384,64.42831,3.173578,0.0466762,-14.33587,0.006339862,279.5247,3.365085,40.14981,0.006339862,23.1845,9.32176,0.135617,-13.86668,0.006339455,280.6571,3.404445,40.619,0.006339455,67.63396,2.258678,0.05954882,-14.49329,0.01130829,285.0414,3.277631,39.99239,0.01130829,15.3618,2.138082,0.06003404,-14.51139,0.01205754,277.4498,3.569203,39.97429,0.01205754,15.16495,42.99231,0.02143674,1.039143,6.611026,0.01694737,43.95892,0.02143674,-0.7919845,0.02732668,-999.0,144582324190943698,232.41909039834695,30.485927819840295,0.002816260093823,2.829689947247971e-06,0.0052888100035488,4.246920070727356e-06,11.82409954071045,0.0068381400778889,4.0290401557285804e-06,0.0078410897403955,7.189709776866948e-06,0.0100394003093242,1.8721999367699027e-05,13,19,11,11,16,0.9796329736709596,0.9148449897766112,0.9466849094513128,0.1044872899827483,2,True,ok,,15.77928,5.522748,11.045496,11.667552624665621,True,resolved
7,unbarred,49,unbarred,z_0.10_masked/t160.2450+58.2843.r_ellipse.txt,160.245,58.2843,0.1527442313560827,True,0.47,59.67765732907056,70.19528166666667,31.38,0.47,19.49,70.66,9402,241.97,241.32,104058.79+581703.3,spec-0948-52428-0454,160.245,58.28426,0.07118206,-19.87023,259.8539,8.518045,-13.31121,0.01163163,869.243,45.98936,41.81031,0.01163163,71.408,65.40466,3.052212,-13.84446,0.01062936,970.7025,31.99525,41.27707,0.01062936,23.15508,29.02267,8.100448,-14.27614,0.1158449,435.4977,8.919921,40.84538,0.1158449,22.36977,6.024047,0.6495755,-14.91015,0.042089,212.8824,4.951831,40.21138,0.042089,13.36004,17.52896,0.5466778,-14.39727,0.01256668,211.9052,4.789048,40.72426,0.01256668,43.15358,54.73797,1.620439,-13.91894,0.01256989,212.2612,4.974939,41.20258,0.01256989,128.2112,13.84614,0.4748435,-14.57869,0.01186027,438.3001,8.86406,40.54284,0.01186027,11.0486,40.01144,1.202129,-14.10947,0.01185929,433.8455,9.564594,41.01205,0.01185929,32.80909,19.68842,0.5872846,-14.41576,0.01156483,434.9465,9.174648,40.70576,0.01156483,15.84775,17.39521,0.5161178,-14.46889,0.01192295,433.8077,9.616879,40.65263,0.01192295,14.06787,42.89794,0.07843664,0.1146951,6.253668,0.04544766,43.86455,0.07843664,-0.5289941,0.09065207,0.6723288,177941602450201867,160.24501719736105,58.28427796095247,0.0003838920092675,6.425399874387949e-07,0.0005118940025568,6.914260097801161e-07,6.192190170288086,0.0007590469904243,1.8800999441737076e-06,0.0007715090177953,3.831059984804597e-06,0.0008038110099732,7.32138005332672e-06,17,18,22,14,11,1.446499943733215,1.224009990692139,1.330612784646635,0.0857566963815234,1,True,ok,,8.09604,2.833614,5.667228,4.2591113398215406,True,resolved
8,unbarred,84,unbarred,z_0.10_masked/t195.4783+32.0969.r_ellipse.txt,195.4783,32.0969,0.2874486037131798,True,0.28,41.58822780334528,-14.531263166666667,28.53,0.21,25.94,-23.16,13501,240.59,239.85,130154.80+320548.8,spec-2029-53819-0398,195.4784,32.09691,0.09530301,-20.83424,336.0906,6.122461,-12.98032,0.003139018,1201.987,11.86888,42.41874,0.003139018,109.3446,84.79398,2.096159,-13.45613,0.005835852,1351.484,22.06717,41.94292,0.005835852,34.38723,1.761472,1.059916,-15.28938,0.266827,344.2379,18.73143,40.10968,0.266827,2.678722,0.4902381,0.2700767,-15.72308,0.2373926,216.0105,7.369177,39.67597,0.2373926,1.70746,5.06975,0.3398654,-14.67371,0.02909011,213.392,6.678743,40.72535,0.02909011,19.14107,15.71303,1.057145,-14.19541,0.02909106,214.4707,6.974185,41.20364,0.02909106,56.4582,3.688278,0.2644031,-14.93177,0.02959636,343.5792,18.08871,40.46728,0.02959636,6.156147,10.64582,0.7395092,-14.46251,0.02958659,345.7742,18.39018,40.93654,0.02958659,17.80886,2.879913,0.2157986,-15.03398,0.03205945,344.6747,17.96215,40.36507,0.03205945,4.705439,2.526987,0.2287684,-15.0886,0.0386289,345.8694,18.8689,40.31045,0.0386289,4.121588,43.52909,0.03611024,0.2970251,6.761319,0.02156828,44.4957,0.03611024,-0.405496,0.04206115,-999.0,146511954783476840,195.47833632281623,32.09691090446788,0.0005239130114205,1.138580046244897e-06,0.0007070419960655,1.1398100241422071e-06,4.541210174560547,0.0010092200245708,2.0648799363698345e-06,0.0010142199462279,3.1918500553729245e-06,0.0011040200479328,6.298139851423912e-06,11,14,14,16,13,1.267199993133545,1.2306599617004397,1.2487963384861942,0.1175252782829644,1,True,ok,,7.360740000000001,2.5762590000000003,5.152518000000001,4.125987433824434,True,resolved
9,unbarred,11,unbarred,z_0.10_masked/t125.9691+18.2449.r_ellipse.txt,125.9691,18.2449,0.1503831865466398,True,0.16,31.84895354563032,6.138628333333332,25.94,0.1,17.72,13.6,5244,240.77,241.52,082352.57+181441.4,spec-2273-53709-0378,125.9691,18.24486,0.09764575,-21.20239,75.60416,1.570216,-13.62984,0.007199889,1380.092,33.78938,41.79268,0.007199889,29.89526,12.52462,0.9583463,-14.33819,0.03029547,1256.3,108.4342,41.08433,0.03029547,8.336659,30.67041,0.9431528,-14.06108,0.00896716,303.3593,3.894367,41.36143,0.00896716,71.90324,5.285905,0.3215949,-14.73909,0.02375717,287.6202,11.16237,40.68343,0.02375717,21.76654,1.359036,0.07234427,-15.29964,0.0232157,288.2419,10.65047,40.12287,0.0232157,5.815262,4.216945,0.2252707,-14.82132,0.02321586,289.1121,10.82323,40.6012,0.02321586,17.30491,5.738448,0.1120587,-14.72878,0.008486791,306.1657,3.954282,40.69373,0.008486791,15.26819,17.04956,0.3363478,-14.25963,0.008488265,300.6098,4.481467,41.16289,0.008488265,46.08951,5.56452,0.1905135,-14.74146,0.01453068,300.8523,4.269465,40.68106,0.01453068,14.81691,4.336565,0.1721034,-14.8458,0.01681929,300.6042,4.478553,40.57672,0.01681929,11.67567,43.43875,0.0242862,0.7682451,6.492304,0.07576233,44.40536,0.0242862,-0.2268208,0.07955973,0.4820768,129891259690894359,125.96907046429683,18.24485706188255,0.0005587029736489,1.7761400386007151e-06,0.0008709329995326,1.9326100755279185e-06,5.397649765014648,0.0012033999664708,1.5374099575637956e-06,0.0013535800389945,3.9371097955154255e-06,0.0015744899865239,9.458940439799337e-06,6,23,8,8,14,1.0436500310897827,1.0065900087356567,1.0249525325163271,0.1846393840720319,1,True,ok,,6.692520000000001,2.342382,4.684764,4.570713131952161,True,resolved
